country,date,jhu-recoveries
AGO,2020-02-14,0
AGO,2020-02-15,0
AGO,2020-02-16,0
AGO,2020-02-17,0
AGO,2020-02-18,0
AGO,2020-02-19,0
AGO,2020-02-20,0
AGO,2020-02-21,0
AGO,2020-02-22,0
AGO,2020-02-23,0
AGO,2020-02-24,0
AGO,2020-02-25,0
AGO,2020-02-26,0
AGO,2020-02-27,0
AGO,2020-02-28,0
AGO,2020-02-29,0
AGO,2020-03-01,0
AGO,2020-03-02,0
AGO,2020-03-03,0
AGO,2020-03-04,0
AGO,2020-03-05,0
AGO,2020-03-06,0
AGO,2020-03-07,0
AGO,2020-03-08,0
AGO,2020-03-09,0
AGO,2020-03-10,0
AGO,2020-03-11,0
AGO,2020-03-12,0
AGO,2020-03-13,0
AGO,2020-03-14,0
AGO,2020-03-15,0
AGO,2020-03-16,0
AGO,2020-03-17,0
AGO,2020-03-18,0
AGO,2020-03-19,0
AGO,2020-03-20,0
AGO,2020-03-21,0
AGO,2020-03-22,0
AGO,2020-03-23,0
AGO,2020-03-24,0
AGO,2020-03-25,0
AGO,2020-03-26,0
AGO,2020-03-27,0
AGO,2020-03-28,0
AGO,2020-03-29,0
AGO,2020-03-30,0
AGO,2020-03-31,1
AGO,2020-04-01,1
AGO,2020-04-02,1
AGO,2020-04-03,1
AGO,2020-04-04,2
AGO,2020-04-05,2
AGO,2020-04-06,2
AGO,2020-04-07,2
AGO,2020-04-08,2
AGO,2020-04-09,2
AGO,2020-04-10,2
AGO,2020-04-11,4
AGO,2020-04-12,4
AGO,2020-04-13,4
AGO,2020-04-14,5
AGO,2020-04-15,5
AGO,2020-04-16,5
AGO,2020-04-17,5
AGO,2020-04-18,6
AGO,2020-04-19,6
AGO,2020-04-20,6
AGO,2020-04-21,6
AGO,2020-04-22,6
AGO,2020-04-23,6
AGO,2020-04-24,6
AGO,2020-04-25,6
AGO,2020-04-26,6
AGO,2020-04-27,6
AGO,2020-04-28,6
AGO,2020-04-29,7
AGO,2020-04-30,7
AGO,2020-05-01,11
AGO,2020-05-02,11
AGO,2020-05-03,11
AGO,2020-05-04,11
AGO,2020-05-05,11
AGO,2020-05-06,11
AGO,2020-05-07,11
AGO,2020-05-08,11
AGO,2020-05-09,13
AGO,2020-05-10,13
AGO,2020-05-11,13
AGO,2020-05-12,13
AGO,2020-05-13,14
AGO,2020-05-14,14
AGO,2020-05-15,17
AGO,2020-05-16,17
AGO,2020-05-17,17
AGO,2020-05-18,17
AGO,2020-05-19,17
AGO,2020-05-20,17
AGO,2020-05-21,17
AGO,2020-05-22,17
AGO,2020-05-23,18
AGO,2020-05-24,18
AGO,2020-05-25,18
AGO,2020-05-26,18
AGO,2020-05-27,18
AGO,2020-05-28,18
AGO,2020-05-29,18
AGO,2020-05-30,18
AGO,2020-05-31,18
AGO,2020-06-01,18
AGO,2020-06-02,18
AGO,2020-06-03,18
AGO,2020-06-04,18
AGO,2020-06-05,21
AGO,2020-06-06,24
AGO,2020-06-07,24
AGO,2020-06-08,38
AGO,2020-06-09,38
AGO,2020-06-10,40
AGO,2020-06-11,41
AGO,2020-06-12,42
AGO,2020-06-13,61
AGO,2020-06-14,61
AGO,2020-06-15,64
AGO,2020-06-16,64
AGO,2020-06-17,64
AGO,2020-06-18,64
AGO,2020-06-19,66
AGO,2020-06-20,66
AGO,2020-06-21,77
AGO,2020-06-22,77
AGO,2020-06-23,77
AGO,2020-06-24,77
AGO,2020-06-25,81
AGO,2020-06-26,81
AGO,2020-06-27,81
AGO,2020-06-28,81
AGO,2020-06-29,93
AGO,2020-06-30,93
AGO,2020-07-01,97
AGO,2020-07-02,97
AGO,2020-07-03,107
AGO,2020-07-04,108
AGO,2020-07-05,108
AGO,2020-07-06,108
AGO,2020-07-07,117
AGO,2020-07-08,117
AGO,2020-07-09,117
AGO,2020-07-10,117
AGO,2020-07-11,118
AGO,2020-07-12,118
AGO,2020-07-13,118
AGO,2020-07-14,118
AGO,2020-07-15,124
AGO,2020-07-16,124
AGO,2020-07-17,199
AGO,2020-07-18,210
AGO,2020-07-19,221
AGO,2020-07-20,221
AGO,2020-07-21,221
AGO,2020-07-22,221
AGO,2020-07-23,236
AGO,2020-07-24,241
AGO,2020-07-25,242
ALB,2020-01-22,0
ALB,2020-01-23,0
ALB,2020-01-24,0
ALB,2020-01-25,0
ALB,2020-01-26,0
ALB,2020-01-27,0
ALB,2020-01-28,0
ALB,2020-01-29,0
ALB,2020-01-30,0
ALB,2020-01-31,0
ALB,2020-02-01,0
ALB,2020-02-02,0
ALB,2020-02-03,0
ALB,2020-02-04,0
ALB,2020-02-05,0
ALB,2020-02-06,0
ALB,2020-02-07,0
ALB,2020-02-08,0
ALB,2020-02-09,0
ALB,2020-02-10,0
ALB,2020-02-11,0
ALB,2020-02-12,0
ALB,2020-02-13,0
ALB,2020-02-14,0
ALB,2020-02-15,0
ALB,2020-02-16,0
ALB,2020-02-17,0
ALB,2020-02-18,0
ALB,2020-02-19,0
ALB,2020-02-20,0
ALB,2020-02-21,0
ALB,2020-02-22,0
ALB,2020-02-23,0
ALB,2020-02-24,0
ALB,2020-02-25,0
ALB,2020-02-26,0
ALB,2020-02-27,0
ALB,2020-02-28,0
ALB,2020-02-29,0
ALB,2020-03-01,0
ALB,2020-03-02,0
ALB,2020-03-03,0
ALB,2020-03-04,0
ALB,2020-03-05,0
ALB,2020-03-06,0
ALB,2020-03-07,0
ALB,2020-03-08,0
ALB,2020-03-09,0
ALB,2020-03-10,0
ALB,2020-03-11,0
ALB,2020-03-12,0
ALB,2020-03-13,0
ALB,2020-03-14,0
ALB,2020-03-15,0
ALB,2020-03-16,0
ALB,2020-03-17,0
ALB,2020-03-18,0
ALB,2020-03-19,0
ALB,2020-03-20,0
ALB,2020-03-21,2
ALB,2020-03-22,2
ALB,2020-03-23,2
ALB,2020-03-24,10
ALB,2020-03-25,17
ALB,2020-03-26,17
ALB,2020-03-27,31
ALB,2020-03-28,31
ALB,2020-03-29,33
ALB,2020-03-30,44
ALB,2020-03-31,52
ALB,2020-04-01,67
ALB,2020-04-02,76
ALB,2020-04-03,89
ALB,2020-04-04,99
ALB,2020-04-05,104
ALB,2020-04-06,116
ALB,2020-04-07,131
ALB,2020-04-08,154
ALB,2020-04-09,165
ALB,2020-04-10,182
ALB,2020-04-11,197
ALB,2020-04-12,217
ALB,2020-04-13,232
ALB,2020-04-14,248
ALB,2020-04-15,251
ALB,2020-04-16,277
ALB,2020-04-17,283
ALB,2020-04-18,302
ALB,2020-04-19,314
ALB,2020-04-20,327
ALB,2020-04-21,345
ALB,2020-04-22,356
ALB,2020-04-23,385
ALB,2020-04-24,394
ALB,2020-04-25,403
ALB,2020-04-26,410
ALB,2020-04-27,422
ALB,2020-04-28,431
ALB,2020-04-29,455
ALB,2020-04-30,470
ALB,2020-05-01,488
ALB,2020-05-02,519
ALB,2020-05-03,531
ALB,2020-05-04,543
ALB,2020-05-05,570
ALB,2020-05-06,595
ALB,2020-05-07,605
ALB,2020-05-08,620
ALB,2020-05-09,627
ALB,2020-05-10,650
ALB,2020-05-11,654
ALB,2020-05-12,682
ALB,2020-05-13,688
ALB,2020-05-14,694
ALB,2020-05-15,705
ALB,2020-05-16,714
ALB,2020-05-17,715
ALB,2020-05-18,727
ALB,2020-05-19,742
ALB,2020-05-20,758
ALB,2020-05-21,771
ALB,2020-05-22,777
ALB,2020-05-23,783
ALB,2020-05-24,789
ALB,2020-05-25,795
ALB,2020-05-26,803
ALB,2020-05-27,812
ALB,2020-05-28,823
ALB,2020-05-29,851
ALB,2020-05-30,857
ALB,2020-05-31,872
ALB,2020-06-01,877
ALB,2020-06-02,891
ALB,2020-06-03,898
ALB,2020-06-04,898
ALB,2020-06-05,910
ALB,2020-06-06,925
ALB,2020-06-07,938
ALB,2020-06-08,945
ALB,2020-06-09,960
ALB,2020-06-10,980
ALB,2020-06-11,1001
ALB,2020-06-12,1034
ALB,2020-06-13,1039
ALB,2020-06-14,1044
ALB,2020-06-15,1055
ALB,2020-06-16,1064
ALB,2020-06-17,1077
ALB,2020-06-18,1086
ALB,2020-06-19,1114
ALB,2020-06-20,1126
ALB,2020-06-21,1134
ALB,2020-06-22,1159
ALB,2020-06-23,1195
ALB,2020-06-24,1217
ALB,2020-06-25,1250
ALB,2020-06-26,1298
ALB,2020-06-27,1346
ALB,2020-06-28,1384
ALB,2020-06-29,1438
ALB,2020-06-30,1459
ALB,2020-07-01,1516
ALB,2020-07-02,1559
ALB,2020-07-03,1592
ALB,2020-07-04,1637
ALB,2020-07-05,1657
ALB,2020-07-06,1702
ALB,2020-07-07,1744
ALB,2020-07-08,1791
ALB,2020-07-09,1832
ALB,2020-07-10,1875
ALB,2020-07-11,1881
ALB,2020-07-12,1946
ALB,2020-07-13,2014
ALB,2020-07-14,2062
ALB,2020-07-15,2091
ALB,2020-07-16,2137
ALB,2020-07-17,2214
ALB,2020-07-18,2264
ALB,2020-07-19,2311
ALB,2020-07-20,2352
ALB,2020-07-21,2397
ALB,2020-07-22,2463
ALB,2020-07-23,2523
ALB,2020-07-24,2608
ALB,2020-07-25,2637
AND,2020-01-22,0
AND,2020-01-23,0
AND,2020-01-24,0
AND,2020-01-25,0
AND,2020-01-26,0
AND,2020-01-27,0
AND,2020-01-28,0
AND,2020-01-29,0
AND,2020-01-30,0
AND,2020-01-31,0
AND,2020-02-01,0
AND,2020-02-02,0
AND,2020-02-03,0
AND,2020-02-04,0
AND,2020-02-05,0
AND,2020-02-06,0
AND,2020-02-07,0
AND,2020-02-08,0
AND,2020-02-09,0
AND,2020-02-10,0
AND,2020-02-11,0
AND,2020-02-12,0
AND,2020-02-13,0
AND,2020-02-14,0
AND,2020-02-15,0
AND,2020-02-16,0
AND,2020-02-17,0
AND,2020-02-18,0
AND,2020-02-19,0
AND,2020-02-20,0
AND,2020-02-21,0
AND,2020-02-22,0
AND,2020-02-23,0
AND,2020-02-24,0
AND,2020-02-25,0
AND,2020-02-26,0
AND,2020-02-27,0
AND,2020-02-28,0
AND,2020-02-29,0
AND,2020-03-01,0
AND,2020-03-02,0
AND,2020-03-03,0
AND,2020-03-04,0
AND,2020-03-05,0
AND,2020-03-06,0
AND,2020-03-07,0
AND,2020-03-08,0
AND,2020-03-09,0
AND,2020-03-10,0
AND,2020-03-11,0
AND,2020-03-12,1
AND,2020-03-13,0
AND,2020-03-14,1
AND,2020-03-15,1
AND,2020-03-16,1
AND,2020-03-17,1
AND,2020-03-18,1
AND,2020-03-19,1
AND,2020-03-20,1
AND,2020-03-21,1
AND,2020-03-22,1
AND,2020-03-23,1
AND,2020-03-24,1
AND,2020-03-25,1
AND,2020-03-26,1
AND,2020-03-27,1
AND,2020-03-28,1
AND,2020-03-29,1
AND,2020-03-30,10
AND,2020-03-31,10
AND,2020-04-01,10
AND,2020-04-02,10
AND,2020-04-03,16
AND,2020-04-04,21
AND,2020-04-05,26
AND,2020-04-06,31
AND,2020-04-07,39
AND,2020-04-08,52
AND,2020-04-09,58
AND,2020-04-10,71
AND,2020-04-11,71
AND,2020-04-12,128
AND,2020-04-13,128
AND,2020-04-14,128
AND,2020-04-15,169
AND,2020-04-16,169
AND,2020-04-17,191
AND,2020-04-18,205
AND,2020-04-19,235
AND,2020-04-20,248
AND,2020-04-21,282
AND,2020-04-22,309
AND,2020-04-23,333
AND,2020-04-24,344
AND,2020-04-25,344
AND,2020-04-26,344
AND,2020-04-27,385
AND,2020-04-28,398
AND,2020-04-29,423
AND,2020-04-30,468
AND,2020-05-01,468
AND,2020-05-02,472
AND,2020-05-03,493
AND,2020-05-04,499
AND,2020-05-05,514
AND,2020-05-06,521
AND,2020-05-07,526
AND,2020-05-08,537
AND,2020-05-09,545
AND,2020-05-10,550
AND,2020-05-11,550
AND,2020-05-12,568
AND,2020-05-13,576
AND,2020-05-14,596
AND,2020-05-15,604
AND,2020-05-16,615
AND,2020-05-17,617
AND,2020-05-18,624
AND,2020-05-19,628
AND,2020-05-20,639
AND,2020-05-21,639
AND,2020-05-22,652
AND,2020-05-23,653
AND,2020-05-24,653
AND,2020-05-25,663
AND,2020-05-26,676
AND,2020-05-27,676
AND,2020-05-28,681
AND,2020-05-29,684
AND,2020-05-30,692
AND,2020-05-31,694
AND,2020-06-01,698
AND,2020-06-02,733
AND,2020-06-03,735
AND,2020-06-04,738
AND,2020-06-05,741
AND,2020-06-06,741
AND,2020-06-07,744
AND,2020-06-08,751
AND,2020-06-09,757
AND,2020-06-10,759
AND,2020-06-11,780
AND,2020-06-12,781
AND,2020-06-13,781
AND,2020-06-14,781
AND,2020-06-15,789
AND,2020-06-16,789
AND,2020-06-17,791
AND,2020-06-18,792
AND,2020-06-19,792
AND,2020-06-20,792
AND,2020-06-21,792
AND,2020-06-22,796
AND,2020-06-23,797
AND,2020-06-24,797
AND,2020-06-25,797
AND,2020-06-26,799
AND,2020-06-27,799
AND,2020-06-28,799
AND,2020-06-29,799
AND,2020-06-30,799
AND,2020-07-01,799
AND,2020-07-02,800
AND,2020-07-03,800
AND,2020-07-04,800
AND,2020-07-05,800
AND,2020-07-06,800
AND,2020-07-07,800
AND,2020-07-08,802
AND,2020-07-09,802
AND,2020-07-10,803
AND,2020-07-11,803
AND,2020-07-12,803
AND,2020-07-13,803
AND,2020-07-14,803
AND,2020-07-15,803
AND,2020-07-16,803
AND,2020-07-17,803
AND,2020-07-18,803
AND,2020-07-19,803
AND,2020-07-20,803
AND,2020-07-21,803
AND,2020-07-22,803
AND,2020-07-23,803
AND,2020-07-24,803
AND,2020-07-25,803
ARE,2020-01-22,0
ARE,2020-01-23,0
ARE,2020-01-24,0
ARE,2020-01-25,0
ARE,2020-01-26,0
ARE,2020-01-27,0
ARE,2020-01-28,0
ARE,2020-01-29,0
ARE,2020-01-30,0
ARE,2020-01-31,0
ARE,2020-02-01,0
ARE,2020-02-02,0
ARE,2020-02-03,0
ARE,2020-02-04,0
ARE,2020-02-05,0
ARE,2020-02-06,0
ARE,2020-02-07,0
ARE,2020-02-08,0
ARE,2020-02-09,0
ARE,2020-02-10,0
ARE,2020-02-11,0
ARE,2020-02-12,1
ARE,2020-02-13,1
ARE,2020-02-14,1
ARE,2020-02-15,3
ARE,2020-02-16,4
ARE,2020-02-17,4
ARE,2020-02-18,4
ARE,2020-02-19,4
ARE,2020-02-20,4
ARE,2020-02-21,4
ARE,2020-02-22,4
ARE,2020-02-23,4
ARE,2020-02-24,4
ARE,2020-02-25,4
ARE,2020-02-26,4
ARE,2020-02-27,4
ARE,2020-02-28,5
ARE,2020-02-29,5
ARE,2020-03-01,5
ARE,2020-03-02,5
ARE,2020-03-03,5
ARE,2020-03-04,5
ARE,2020-03-05,5
ARE,2020-03-06,5
ARE,2020-03-07,7
ARE,2020-03-08,7
ARE,2020-03-09,7
ARE,2020-03-10,12
ARE,2020-03-11,17
ARE,2020-03-12,17
ARE,2020-03-13,17
ARE,2020-03-14,17
ARE,2020-03-15,23
ARE,2020-03-16,23
ARE,2020-03-17,23
ARE,2020-03-18,26
ARE,2020-03-19,31
ARE,2020-03-20,31
ARE,2020-03-21,38
ARE,2020-03-22,38
ARE,2020-03-23,38
ARE,2020-03-24,45
ARE,2020-03-25,52
ARE,2020-03-26,52
ARE,2020-03-27,52
ARE,2020-03-28,52
ARE,2020-03-29,58
ARE,2020-03-30,61
ARE,2020-03-31,61
ARE,2020-04-01,61
ARE,2020-04-02,96
ARE,2020-04-03,108
ARE,2020-04-04,125
ARE,2020-04-05,144
ARE,2020-04-06,167
ARE,2020-04-07,186
ARE,2020-04-08,239
ARE,2020-04-09,268
ARE,2020-04-10,418
ARE,2020-04-11,588
ARE,2020-04-12,680
ARE,2020-04-13,852
ARE,2020-04-14,933
ARE,2020-04-15,1034
ARE,2020-04-16,1095
ARE,2020-04-17,1188
ARE,2020-04-18,1188
ARE,2020-04-19,1286
ARE,2020-04-20,1360
ARE,2020-04-21,1443
ARE,2020-04-22,1546
ARE,2020-04-23,1637
ARE,2020-04-24,1760
ARE,2020-04-25,1887
ARE,2020-04-26,1978
ARE,2020-04-27,2090
ARE,2020-04-28,2181
ARE,2020-04-29,2329
ARE,2020-04-30,2429
ARE,2020-05-01,2543
ARE,2020-05-02,2664
ARE,2020-05-03,2763
ARE,2020-05-04,2966
ARE,2020-05-05,3153
ARE,2020-05-06,3359
ARE,2020-05-07,3572
ARE,2020-05-08,3837
ARE,2020-05-09,4295
ARE,2020-05-10,4804
ARE,2020-05-11,5381
ARE,2020-05-12,6012
ARE,2020-05-13,6523
ARE,2020-05-14,6930
ARE,2020-05-15,7328
ARE,2020-05-16,7931
ARE,2020-05-17,8512
ARE,2020-05-18,9577
ARE,2020-05-19,10791
ARE,2020-05-20,11809
ARE,2020-05-21,12755
ARE,2020-05-22,13798
ARE,2020-05-23,14495
ARE,2020-05-24,15056
ARE,2020-05-25,15657
ARE,2020-05-26,15982
ARE,2020-05-27,16371
ARE,2020-05-28,16685
ARE,2020-05-29,17097
ARE,2020-05-30,17546
ARE,2020-05-31,17932
ARE,2020-06-01,18338
ARE,2020-06-02,18726
ARE,2020-06-03,19153
ARE,2020-06-04,19572
ARE,2020-06-05,20337
ARE,2020-06-06,21061
ARE,2020-06-07,21806
ARE,2020-06-08,22275
ARE,2020-06-09,22740
ARE,2020-06-10,24017
ARE,2020-06-11,25234
ARE,2020-06-12,25946
ARE,2020-06-13,26761
ARE,2020-06-14,27462
ARE,2020-06-15,28129
ARE,2020-06-16,28861
ARE,2020-06-17,29537
ARE,2020-06-18,30241
ARE,2020-06-19,30996
ARE,2020-06-20,31754
ARE,2020-06-21,32415
ARE,2020-06-22,33046
ARE,2020-06-23,33703
ARE,2020-06-24,34405
ARE,2020-06-25,35165
ARE,2020-06-26,35469
ARE,2020-06-27,35834
ARE,2020-06-28,36411
ARE,2020-06-29,37076
ARE,2020-06-30,37566
ARE,2020-07-01,38160
ARE,2020-07-02,38664
ARE,2020-07-03,39153
ARE,2020-07-04,39857
ARE,2020-07-05,40297
ARE,2020-07-06,40721
ARE,2020-07-07,41714
ARE,2020-07-08,42282
ARE,2020-07-09,43570
ARE,2020-07-10,43969
ARE,2020-07-11,44648
ARE,2020-07-12,45140
ARE,2020-07-13,45513
ARE,2020-07-14,46025
ARE,2020-07-15,46418
ARE,2020-07-16,47412
ARE,2020-07-17,48448
ARE,2020-07-18,48917
ARE,2020-07-19,49269
ARE,2020-07-20,49621
ARE,2020-07-21,49964
ARE,2020-07-22,50354
ARE,2020-07-23,50848
ARE,2020-07-24,51235
ARE,2020-07-25,51628
ARG,2020-01-22,0
ARG,2020-01-23,0
ARG,2020-01-24,0
ARG,2020-01-25,0
ARG,2020-01-26,0
ARG,2020-01-27,0
ARG,2020-01-28,0
ARG,2020-01-29,0
ARG,2020-01-30,0
ARG,2020-01-31,0
ARG,2020-02-01,0
ARG,2020-02-02,0
ARG,2020-02-03,0
ARG,2020-02-04,0
ARG,2020-02-05,0
ARG,2020-02-06,0
ARG,2020-02-07,0
ARG,2020-02-08,0
ARG,2020-02-09,0
ARG,2020-02-10,0
ARG,2020-02-11,0
ARG,2020-02-12,0
ARG,2020-02-13,0
ARG,2020-02-14,0
ARG,2020-02-15,0
ARG,2020-02-16,0
ARG,2020-02-17,0
ARG,2020-02-18,0
ARG,2020-02-19,0
ARG,2020-02-20,0
ARG,2020-02-21,0
ARG,2020-02-22,0
ARG,2020-02-23,0
ARG,2020-02-24,0
ARG,2020-02-25,0
ARG,2020-02-26,0
ARG,2020-02-27,0
ARG,2020-02-28,0
ARG,2020-02-29,0
ARG,2020-03-01,0
ARG,2020-03-02,0
ARG,2020-03-03,0
ARG,2020-03-04,0
ARG,2020-03-05,0
ARG,2020-03-06,0
ARG,2020-03-07,0
ARG,2020-03-08,0
ARG,2020-03-09,0
ARG,2020-03-10,0
ARG,2020-03-11,0
ARG,2020-03-12,0
ARG,2020-03-13,0
ARG,2020-03-14,1
ARG,2020-03-15,1
ARG,2020-03-16,1
ARG,2020-03-17,3
ARG,2020-03-18,3
ARG,2020-03-19,3
ARG,2020-03-20,3
ARG,2020-03-21,3
ARG,2020-03-22,3
ARG,2020-03-23,3
ARG,2020-03-24,52
ARG,2020-03-25,52
ARG,2020-03-26,63
ARG,2020-03-27,72
ARG,2020-03-28,72
ARG,2020-03-29,72
ARG,2020-03-30,228
ARG,2020-03-31,240
ARG,2020-04-01,248
ARG,2020-04-02,256
ARG,2020-04-03,266
ARG,2020-04-04,279
ARG,2020-04-05,280
ARG,2020-04-06,325
ARG,2020-04-07,338
ARG,2020-04-08,358
ARG,2020-04-09,365
ARG,2020-04-10,375
ARG,2020-04-11,440
ARG,2020-04-12,468
ARG,2020-04-13,515
ARG,2020-04-14,559
ARG,2020-04-15,596
ARG,2020-04-16,631
ARG,2020-04-17,666
ARG,2020-04-18,685
ARG,2020-04-19,709
ARG,2020-04-20,737
ARG,2020-04-21,840
ARG,2020-04-22,872
ARG,2020-04-23,919
ARG,2020-04-24,976
ARG,2020-04-25,1030
ARG,2020-04-26,1107
ARG,2020-04-27,1140
ARG,2020-04-28,1162
ARG,2020-04-29,1192
ARG,2020-04-30,1256
ARG,2020-05-01,1292
ARG,2020-05-02,1320
ARG,2020-05-03,1354
ARG,2020-05-04,1442
ARG,2020-05-05,1472
ARG,2020-05-06,1524
ARG,2020-05-07,1601
ARG,2020-05-08,1659
ARG,2020-05-09,1728
ARG,2020-05-10,1757
ARG,2020-05-11,1837
ARG,2020-05-12,1862
ARG,2020-05-13,2266
ARG,2020-05-14,2385
ARG,2020-05-15,2497
ARG,2020-05-16,2534
ARG,2020-05-17,2569
ARG,2020-05-18,2625
ARG,2020-05-19,2872
ARG,2020-05-20,2933
ARG,2020-05-21,3032
ARG,2020-05-22,3062
ARG,2020-05-23,3530
ARG,2020-05-24,3732
ARG,2020-05-25,3999
ARG,2020-05-26,4167
ARG,2020-05-27,4349
ARG,2020-05-28,4617
ARG,2020-05-29,4788
ARG,2020-05-30,4788
ARG,2020-05-31,5336
ARG,2020-06-01,5521
ARG,2020-06-02,5709
ARG,2020-06-03,5896
ARG,2020-06-04,5993
ARG,2020-06-05,6088
ARG,2020-06-06,6180
ARG,2020-06-07,6909
ARG,2020-06-08,7305
