iso_code,country,date,yougov_wearing_mask_in_public
AUS,Australia,2020-04-26,24.0
AUS,Australia,2020-05-03,25.0
AUS,Australia,2020-05-22,18.0
AUS,Australia,2020-06-05,17.0
AUS,Australia,2020-06-19,21.0
AUS,Australia,2020-07-03,20.0
AUS,Australia,2020-08-02,41.0
AUS,Australia,2020-08-30,48.0
AUS,Australia,2021-07-19,70.0
CAN,Canada,2020-03-17,6.0
CAN,Canada,2020-03-23,9.0
CAN,Canada,2020-03-30,16.0
CAN,Canada,2020-04-06,18.0
CAN,Canada,2020-04-13,16.0
CAN,Canada,2020-04-20,31.0
CAN,Canada,2020-04-27,41.0
CAN,Canada,2020-05-26,49.0
CAN,Canada,2020-06-11,58.0
CAN,Canada,2020-06-26,60.0
CAN,Canada,2020-07-07,60.0
CAN,Canada,2020-07-21,74.0
CAN,Canada,2020-08-04,79.0
CAN,Canada,2020-08-24,80.0
CAN,Canada,2020-09-01,80.0
CAN,Canada,2020-10-30,84.0
CAN,Canada,2020-11-27,86.0
CAN,Canada,2021-01-27,84.0
CAN,Canada,2021-02-28,85.0
CHN,China,2020-02-24,85.0
CHN,China,2020-03-02,87.0
CHN,China,2020-03-09,86.0
CHN,China,2020-03-16,83.0
CHN,China,2020-03-23,86.0
CHN,China,2020-03-30,83.0
CHN,China,2020-04-06,85.0
CHN,China,2020-04-13,89.0
CHN,China,2020-04-20,82.0
CHN,China,2020-04-27,90.0
CHN,China,2020-05-04,88.0
CHN,China,2020-05-26,83.0
CHN,China,2020-06-08,83.0
CHN,China,2020-06-22,82.0
CHN,China,2020-07-06,82.0
CHN,China,2020-07-20,80.0
CHN,China,2020-08-04,81.0
CHN,China,2020-08-17,79.0
CHN,China,2020-08-31,81.0
CHN,China,2020-09-14,79.0
CHN,China,2020-09-28,81.0
CHN,China,2020-10-12,82.0
DEU,Germany,2020-03-04,2.0
DEU,Germany,2020-03-16,1.0
DEU,Germany,2020-03-23,3.0
DEU,Germany,2020-03-30,7.0
DEU,Germany,2020-04-06,14.0
DEU,Germany,2020-04-13,17.0
DEU,Germany,2020-04-20,24.0
DEU,Germany,2020-04-27,38.0
DEU,Germany,2020-05-04,62.0
DEU,Germany,2020-05-25,64.0
DEU,Germany,2020-06-18,64.0
DEU,Germany,2020-07-02,65.0
DEU,Germany,2020-07-16,66.0
DEU,Germany,2020-07-30,65.0
DEU,Germany,2020-08-13,66.0
DEU,Germany,2020-08-27,63.0
DEU,Germany,2020-09-10,64.0
DEU,Germany,2020-09-24,62.0
DEU,Germany,2020-10-08,64.0
DEU,Germany,2020-10-22,64.0
DEU,Germany,2020-11-04,72.0
DEU,Germany,2020-11-19,69.0
DEU,Germany,2020-12-04,73.0
DEU,Germany,2020-12-17,74.0
DEU,Germany,2020-12-31,72.0
DEU,Germany,2021-01-18,72.0
DEU,Germany,2021-01-28,75.0
DEU,Germany,2021-02-11,74.0
DEU,Germany,2021-02-26,71.0
DEU,Germany,2021-03-11,71.0
DEU,Germany,2021-03-25,69.0
DEU,Germany,2021-04-08,70.0
DEU,Germany,2021-04-23,71.0
DEU,Germany,2021-05-06,70.0
DEU,Germany,2021-05-20,67.0
DEU,Germany,2021-06-04,68.0
DEU,Germany,2021-06-17,66.0
DEU,Germany,2021-07-01,63.0
DEU,Germany,2021-07-15,61.0
DNK,Denmark,2020-03-16,1.0
DNK,Denmark,2020-03-23,1.0
DNK,Denmark,2020-03-29,2.0
DNK,Denmark,2020-04-05,3.0
DNK,Denmark,2020-04-12,2.0
DNK,Denmark,2020-04-19,3.0
DNK,Denmark,2020-04-26,3.0
DNK,Denmark,2020-05-03,5.0
DNK,Denmark,2020-05-25,3.0
DNK,Denmark,2020-06-18,4.0
DNK,Denmark,2020-09-13,34.0
DNK,Denmark,2020-09-23,37.0
DNK,Denmark,2020-10-12,40.0
DNK,Denmark,2020-11-05,72.0
DNK,Denmark,2020-11-18,73.0
DNK,Denmark,2020-12-02,69.0
DNK,Denmark,2021-01-13,65.0
DNK,Denmark,2021-02-14,65.0
DNK,Denmark,2021-02-28,65.0
DNK,Denmark,2021-03-12,60.0
DNK,Denmark,2021-03-29,64.0
DNK,Denmark,2021-04-12,65.0
DNK,Denmark,2021-05-10,60.0
DNK,Denmark,2021-06-07,56.0
ESP,Spain,2020-03-12,5.0
ESP,Spain,2020-03-19,25.0
ESP,Spain,2020-03-25,42.0
ESP,Spain,2020-04-02,45.0
ESP,Spain,2020-04-08,56.0
ESP,Spain,2020-04-16,65.0
ESP,Spain,2020-04-23,66.0
ESP,Spain,2020-04-30,72.0
ESP,Spain,2020-05-20,84.0
ESP,Spain,2020-05-28,86.0
ESP,Spain,2020-06-08,86.0
ESP,Spain,2020-06-12,87.0
ESP,Spain,2020-06-21,80.0
ESP,Spain,2020-06-25,86.0
ESP,Spain,2020-07-09,88.0
ESP,Spain,2020-07-16,86.0
ESP,Spain,2020-07-23,88.0
ESP,Spain,2020-07-30,90.0
ESP,Spain,2020-08-06,89.0
ESP,Spain,2020-08-25,89.0
ESP,Spain,2020-09-04,87.0
ESP,Spain,2020-09-10,89.0
ESP,Spain,2020-09-18,88.0
ESP,Spain,2020-09-23,89.0
ESP,Spain,2020-09-30,89.0
ESP,Spain,2020-10-16,89.0
ESP,Spain,2020-11-04,87.0
ESP,Spain,2020-11-16,90.0
ESP,Spain,2020-11-23,87.0
ESP,Spain,2020-12-02,85.0
ESP,Spain,2020-12-11,85.0
ESP,Spain,2020-12-18,87.0
ESP,Spain,2020-12-23,85.0
ESP,Spain,2021-01-07,87.0
ESP,Spain,2021-01-13,89.0
ESP,Spain,2021-01-20,90.0
ESP,Spain,2021-01-29,88.0
ESP,Spain,2021-02-05,87.0
ESP,Spain,2021-02-17,87.0
ESP,Spain,2021-03-03,86.0
ESP,Spain,2021-03-10,86.0
ESP,Spain,2021-03-18,89.0
ESP,Spain,2021-03-24,86.0
ESP,Spain,2021-04-01,88.0
ESP,Spain,2021-04-14,91.0
ESP,Spain,2021-04-21,88.0
ESP,Spain,2021-05-01,87.0
ESP,Spain,2021-05-07,88.0
ESP,Spain,2021-05-14,86.0
ESP,Spain,2021-05-21,88.0
ESP,Spain,2021-05-30,86.0
ESP,Spain,2021-06-06,86.0
ESP,Spain,2021-06-11,84.0
ESP,Spain,2021-06-16,85.0
ESP,Spain,2021-06-23,84.0
ESP,Spain,2021-07-02,84.0
ESP,Spain,2021-07-09,86.0
ESP,Spain,2021-07-19,84.0
FIN,Finland,2020-03-16,1.0
FIN,Finland,2020-03-23,1.0
FIN,Finland,2020-03-29,2.0
FIN,Finland,2020-04-05,5.0
FIN,Finland,2020-04-12,4.0
FIN,Finland,2020-04-19,3.0
FIN,Finland,2020-04-26,3.0
FIN,Finland,2020-05-03,7.0
FIN,Finland,2020-06-20,7.0
FIN,Finland,2020-09-06,21.0
FIN,Finland,2020-09-20,22.0
FIN,Finland,2020-10-12,46.0
FIN,Finland,2020-11-03,56.0
FIN,Finland,2020-11-12,56.0
FIN,Finland,2020-11-27,65.0
FIN,Finland,2021-01-18,75.0
FIN,Finland,2021-01-31,76.0
FIN,Finland,2021-02-14,75.0
FIN,Finland,2021-02-26,77.0
FIN,Finland,2021-03-15,71.0
FIN,Finland,2021-03-21,75.0
FIN,Finland,2021-04-11,76.0
FIN,Finland,2021-05-05,73.0
FIN,Finland,2021-06-03,72.0
FRA,France,2020-03-10,5.0
FRA,France,2020-03-13,6.0
FRA,France,2020-03-20,12.0
FRA,France,2020-03-27,22.0
FRA,France,2020-04-03,25.0
FRA,France,2020-04-10,38.0
FRA,France,2020-04-17,43.0
FRA,France,2020-04-24,47.0
FRA,France,2020-05-01,56.0
FRA,France,2020-05-20,76.0
FRA,France,2020-05-27,79.0
FRA,France,2020-06-04,77.0
FRA,France,2020-06-12,75.0
FRA,France,2020-06-17,78.0
FRA,France,2020-06-24,78.0
FRA,France,2020-07-01,78.0
FRA,France,2020-07-16,79.0
FRA,France,2020-07-22,83.0
FRA,France,2020-07-31,85.0
FRA,France,2020-08-07,84.0
FRA,France,2020-08-12,81.0
FRA,France,2020-09-02,81.0
FRA,France,2020-09-10,80.0
FRA,France,2020-09-22,83.0
FRA,France,2020-09-30,77.0
FRA,France,2020-10-15,81.0
FRA,France,2020-10-22,84.0
FRA,France,2020-10-28,82.0
FRA,France,2020-11-04,83.0
FRA,France,2020-11-18,84.0
FRA,France,2020-11-25,82.0
FRA,France,2020-12-02,81.0
FRA,France,2020-12-09,81.0
FRA,France,2020-12-16,83.0
FRA,France,2021-01-06,79.0
FRA,France,2021-01-20,81.0
FRA,France,2021-01-27,73.0
FRA,France,2021-02-03,81.0
FRA,France,2021-02-12,84.0
FRA,France,2021-02-16,75.0
FRA,France,2021-02-23,79.0
FRA,France,2021-03-10,77.0
FRA,France,2021-03-17,80.0
FRA,France,2021-03-24,79.0
FRA,France,2021-03-31,80.0
FRA,France,2021-04-08,80.0
FRA,France,2021-04-14,77.0
FRA,France,2021-04-21,78.0
FRA,France,2021-04-28,79.0
FRA,France,2021-05-19,81.0
FRA,France,2021-06-03,78.0
FRA,France,2021-06-09,78.0
FRA,France,2021-06-16,76.0
FRA,France,2021-06-23,78.0
FRA,France,2021-06-29,78.0
FRA,France,2021-07-07,77.0
FRA,France,2021-07-14,78.0
FRA,France,2021-07-21,74.0
GBR,United Kingdom,2020-03-01,1.0
GBR,United Kingdom,2020-03-13,1.0
GBR,United Kingdom,2020-03-20,2.0
GBR,United Kingdom,2020-03-27,6.0
GBR,United Kingdom,2020-04-03,7.0
GBR,United Kingdom,2020-04-14,10.0
GBR,United Kingdom,2020-04-17,11.0
GBR,United Kingdom,2020-04-24,13.0
GBR,United Kingdom,2020-05-01,13.0
GBR,United Kingdom,2020-05-15,18.0
GBR,United Kingdom,2020-05-21,20.0
GBR,United Kingdom,2020-05-30,21.0
GBR,United Kingdom,2020-06-05,21.0
GBR,United Kingdom,2020-06-16,27.0
GBR,United Kingdom,2020-06-25,31.0
GBR,United Kingdom,2020-07-03,36.0
GBR,United Kingdom,2020-07-12,38.0
GBR,United Kingdom,2020-07-26,57.0
GBR,United Kingdom,2020-07-31,69.0
GBR,United Kingdom,2020-08-07,65.0
GBR,United Kingdom,2020-08-12,75.0
GBR,United Kingdom,2020-08-25,74.0
GBR,United Kingdom,2020-09-08,71.0
GBR,United Kingdom,2020-09-16,76.0
GBR,United Kingdom,2020-09-29,76.0
GBR,United Kingdom,2020-10-07,76.0
GBR,United Kingdom,2020-10-22,74.0
GBR,United Kingdom,2020-11-18,75.0
GBR,United Kingdom,2020-11-26,74.0
GBR,United Kingdom,2020-12-04,76.0
GBR,United Kingdom,2020-12-15,77.0
GBR,United Kingdom,2021-01-05,70.0
GBR,United Kingdom,2021-01-19,76.0
GBR,United Kingdom,2021-01-29,74.0
GBR,United Kingdom,2021-02-11,77.0
GBR,United Kingdom,2021-02-22,74.0
GBR,United Kingdom,2021-03-09,75.0
GBR,United Kingdom,2021-03-21,71.0
GBR,United Kingdom,2021-04-09,73.0
GBR,United Kingdom,2021-04-20,73.0
GBR,United Kingdom,2021-05-07,71.0
GBR,United Kingdom,2021-05-20,74.0
GBR,United Kingdom,2021-06-02,73.0
GBR,United Kingdom,2021-06-25,71.0
GBR,United Kingdom,2021-07-16,71.0
GBR,United Kingdom,2021-07-22,69.0
HKG,Hong Kong SAR China,2020-02-25,90.0
HKG,Hong Kong SAR China,2020-03-03,85.0
HKG,Hong Kong SAR China,2020-03-10,85.0
HKG,Hong Kong SAR China,2020-03-17,86.0
HKG,Hong Kong SAR China,2020-03-24,88.0
HKG,Hong Kong SAR China,2020-03-31,89.0
HKG,Hong Kong SAR China,2020-04-07,88.0
HKG,Hong Kong SAR China,2020-04-14,90.0
HKG,Hong Kong SAR China,2020-04-21,88.0
HKG,Hong Kong SAR China,2020-04-28,88.0
HKG,Hong Kong SAR China,2020-05-05,90.0
HKG,Hong Kong SAR China,2020-05-25,87.0
HKG,Hong Kong SAR China,2020-06-08,90.0
HKG,Hong Kong SAR China,2020-06-22,86.0
HKG,Hong Kong SAR China,2020-07-06,86.0
HKG,Hong Kong SAR China,2020-07-21,86.0
HKG,Hong Kong SAR China,2020-08-04,89.0
HKG,Hong Kong SAR China,2020-08-18,89.0
HKG,Hong Kong SAR China,2020-08-31,87.0
HKG,Hong Kong SAR China,2020-09-15,87.0
HKG,Hong Kong SAR China,2020-09-28,90.0
HKG,Hong Kong SAR China,2020-10-12,88.0
HKG,Hong Kong SAR China,2020-10-27,89.0
HKG,Hong Kong SAR China,2020-11-09,89.0
HKG,Hong Kong SAR China,2020-11-24,88.0
HKG,Hong Kong SAR China,2020-12-07,89.0
HKG,Hong Kong SAR China,2020-12-21,88.0
HKG,Hong Kong SAR China,2021-01-05,80.0
HKG,Hong Kong SAR China,2021-01-18,85.0
HKG,Hong Kong SAR China,2021-02-01,81.0
HKG,Hong Kong SAR China,2021-02-16,81.0
HKG,Hong Kong SAR China,2021-03-02,87.0
HKG,Hong Kong SAR China,2021-03-15,92.0
HKG,Hong Kong SAR China,2021-03-29,88.0
HKG,Hong Kong SAR China,2021-04-12,88.0
HKG,Hong Kong SAR China,2021-04-27,90.0
HKG,Hong Kong SAR China,2021-05-10,86.0
HKG,Hong Kong SAR China,2021-05-25,86.0
HKG,Hong Kong SAR China,2021-06-07,90.0
HKG,Hong Kong SAR China,2021-06-21,88.0
HKG,Hong Kong SAR China,2021-07-05,86.0
HKG,Hong Kong SAR China,2021-07-20,86.0
IDN,Indonesia,2020-02-24,54.0
IDN,Indonesia,2020-03-02,61.0
IDN,Indonesia,2020-03-09,47.0
IDN,Indonesia,2020-03-16,48.0
IDN,Indonesia,2020-03-23,59.0
IDN,Indonesia,2020-03-30,71.0
IDN,Indonesia,2020-04-06,70.0
IDN,Indonesia,2020-04-13,79.0
IDN,Indonesia,2020-04-20,81.0
IDN,Indonesia,2020-04-27,79.0
IDN,Indonesia,2020-05-04,84.0
IDN,Indonesia,2020-05-22,82.0
IDN,Indonesia,2020-06-08,84.0
IDN,Indonesia,2020-06-22,85.0
IDN,Indonesia,2020-07-06,85.0
IDN,Indonesia,2020-07-20,85.0
IDN,Indonesia,2020-08-03,83.0
IDN,Indonesia,2020-08-17,82.0
IDN,Indonesia,2020-08-31,82.0
IDN,Indonesia,2020-09-14,86.0
IDN,Indonesia,2020-09-28,85.0
IDN,Indonesia,2020-10-12,84.0
IDN,Indonesia,2020-10-26,86.0
IDN,Indonesia,2020-11-09,85.0
IDN,Indonesia,2020-11-23,83.0
IDN,Indonesia,2020-12-07,84.0
IDN,Indonesia,2020-12-21,86.0
IDN,Indonesia,2021-01-04,80.0
IDN,Indonesia,2021-01-18,85.0
IDN,Indonesia,2021-02-01,81.0
IDN,Indonesia,2021-02-15,81.0
IDN,Indonesia,2021-03-01,81.0
IDN,Indonesia,2021-03-15,83.0
IDN,Indonesia,2021-03-29,82.0
IDN,Indonesia,2021-04-12,81.0
IDN,Indonesia,2021-04-26,82.0
IDN,Indonesia,2021-05-10,81.0
IDN,Indonesia,2021-05-24,79.0
IDN,Indonesia,2021-06-07,81.0
IDN,Indonesia,2021-06-21,81.0
IDN,Indonesia,2021-07-05,84.0
IDN,Indonesia,2021-07-19,81.0
IND,India,2020-03-16,43.0
IND,India,2020-03-20,46.0
IND,India,2020-03-27,65.0
IND,India,2020-04-03,71.0
IND,India,2020-04-10,79.0
IND,India,2020-04-17,84.0
IND,India,2020-04-24,81.0
IND,India,2020-05-01,82.0
IND,India,2020-07-23,82.0
IND,India,2020-08-02,82.0
IND,India,2020-08-05,81.0
IND,India,2020-08-14,87.0
IND,India,2020-08-21,80.0
IND,India,2020-09-18,80.0
IND,India,2020-09-24,83.0
IND,India,2020-10-02,80.0
IND,India,2020-10-11,77.0
IND,India,2020-10-19,79.0
IND,India,2020-10-23,79.0
IND,India,2020-10-31,83.0
IND,India,2020-11-06,79.0
IND,India,2020-11-13,79.0
IND,India,2020-11-20,82.0
IND,India,2020-11-29,79.0
IND,India,2020-12-05,82.0
IND,India,2020-12-14,82.0
IND,India,2020-12-18,75.0
IND,India,2020-12-27,79.0
IND,India,2021-01-03,79.0
IND,India,2021-01-08,80.0
IND,India,2021-01-15,76.0
IND,India,2021-01-22,80.0
IND,India,2021-01-30,78.0
IND,India,2021-02-08,78.0
IND,India,2021-02-15,78.0
IND,India,2021-02-25,78.0
IND,India,2021-03-07,81.0
IND,India,2021-03-22,72.0
IND,India,2021-03-28,72.0
IND,India,2021-04-04,72.0
IND,India,2021-04-11,76.0
IND,India,2021-04-18,74.0
IND,India,2021-04-25,76.0
IND,India,2021-05-03,78.0
IND,India,2021-05-10,78.0
IND,India,2021-05-16,77.0
IND,India,2021-05-21,78.0
IND,India,2021-05-30,77.0
IND,India,2021-06-06,78.0
IND,India,2021-06-13,79.0
IND,India,2021-06-20,73.0
IND,India,2021-06-27,77.0
IND,India,2021-07-04,75.0
IND,India,2021-07-08,76.0
IND,India,2021-07-17,75.0
ITA,Italy,2020-03-11,26.0
ITA,Italy,2020-03-19,59.0
ITA,Italy,2020-03-25,70.0
ITA,Italy,2020-04-03,75.0
ITA,Italy,2020-04-09,82.0
ITA,Italy,2020-04-16,85.0
ITA,Italy,2020-04-23,89.0
ITA,Italy,2020-04-30,87.0
ITA,Italy,2020-05-26,85.0
ITA,Italy,2020-06-02,86.0
ITA,Italy,2020-06-10,85.0
ITA,Italy,2020-06-17,84.0
ITA,Italy,2020-06-23,81.0
ITA,Italy,2020-07-07,83.0
ITA,Italy,2020-07-14,85.0
ITA,Italy,2020-07-21,84.0
ITA,Italy,2020-07-28,81.0
ITA,Italy,2020-08-18,83.0
ITA,Italy,2020-08-25,84.0
ITA,Italy,2020-09-01,82.0
ITA,Italy,2020-09-09,85.0
ITA,Italy,2020-09-16,85.0
ITA,Italy,2020-09-29,88.0
ITA,Italy,2020-10-06,88.0
ITA,Italy,2020-10-13,88.0
ITA,Italy,2020-10-20,84.0
ITA,Italy,2020-10-27,89.0
ITA,Italy,2020-11-03,88.0
ITA,Italy,2020-11-10,87.0
ITA,Italy,2020-11-17,86.0
ITA,Italy,2020-12-01,84.0
ITA,Italy,2020-12-09,84.0
ITA,Italy,2020-12-14,88.0
ITA,Italy,2020-12-22,83.0
ITA,Italy,2021-01-05,87.0
ITA,Italy,2021-01-12,86.0
ITA,Italy,2021-01-19,87.0
ITA,Italy,2021-01-26,80.0
ITA,Italy,2021-02-02,87.0
ITA,Italy,2021-02-09,84.0
ITA,Italy,2021-02-16,83.0
ITA,Italy,2021-02-25,82.0
ITA,Italy,2021-03-02,83.0
ITA,Italy,2021-03-09,88.0
ITA,Italy,2021-03-16,84.0
ITA,Italy,2021-03-23,86.0
ITA,Italy,2021-03-30,84.0
ITA,Italy,2021-04-06,81.0
ITA,Italy,2021-04-13,85.0
ITA,Italy,2021-04-20,84.0
ITA,Italy,2021-04-27,84.0
ITA,Italy,2021-05-04,82.0
ITA,Italy,2021-05-18,83.0
ITA,Italy,2021-05-25,82.0
ITA,Italy,2021-06-01,82.0
ITA,Italy,2021-06-08,79.0
ITA,Italy,2021-06-15,80.0
ITA,Italy,2021-06-29,78.0
ITA,Italy,2021-07-13,78.0
JPN,Japan,2020-03-17,62.0
JPN,Japan,2020-03-24,62.0
JPN,Japan,2020-03-30,67.0
JPN,Japan,2020-04-06,73.0
JPN,Japan,2020-04-13,76.0
JPN,Japan,2020-04-20,81.0
JPN,Japan,2020-04-27,84.0
JPN,Japan,2020-05-04,86.0
MEX,Mexico,2020-03-17,17.0
MEX,Mexico,2020-03-23,21.0
MEX,Mexico,2020-03-30,28.0
MEX,Mexico,2020-04-06,37.0
MEX,Mexico,2020-04-13,46.0
MEX,Mexico,2020-04-20,60.0
MEX,Mexico,2020-04-27,67.0
MYS,Malaysia,2020-02-24,55.0
MYS,Malaysia,2020-03-02,55.0
MYS,Malaysia,2020-03-09,53.0
MYS,Malaysia,2020-03-16,55.0
MYS,Malaysia,2020-03-23,69.0
MYS,Malaysia,2020-03-30,77.0
MYS,Malaysia,2020-04-06,82.0
MYS,Malaysia,2020-04-13,80.0
MYS,Malaysia,2020-04-20,83.0
MYS,Malaysia,2020-04-27,86.0
MYS,Malaysia,2020-05-04,85.0
MYS,Malaysia,2020-05-25,85.0
MYS,Malaysia,2020-06-08,88.0
MYS,Malaysia,2020-06-22,89.0
MYS,Malaysia,2020-07-06,86.0
MYS,Malaysia,2020-07-20,85.0
MYS,Malaysia,2020-08-03,84.0
MYS,Malaysia,2020-08-17,91.0
MYS,Malaysia,2020-08-31,89.0
MYS,Malaysia,2020-09-14,88.0
MYS,Malaysia,2020-09-28,90.0
MYS,Malaysia,2020-10-12,92.0
MYS,Malaysia,2020-10-26,91.0
MYS,Malaysia,2020-11-09,91.0
MYS,Malaysia,2020-11-23,90.0
MYS,Malaysia,2020-12-07,89.0
MYS,Malaysia,2020-12-21,88.0
MYS,Malaysia,2021-01-04,90.0
MYS,Malaysia,2021-01-18,91.0
MYS,Malaysia,2021-02-01,90.0
MYS,Malaysia,2021-02-15,89.0
MYS,Malaysia,2021-03-01,91.0
MYS,Malaysia,2021-03-15,85.0
MYS,Malaysia,2021-03-29,86.0
MYS,Malaysia,2021-04-12,87.0
MYS,Malaysia,2021-04-26,89.0
MYS,Malaysia,2021-05-10,88.0
MYS,Malaysia,2021-05-24,84.0
MYS,Malaysia,2021-06-07,86.0
MYS,Malaysia,2021-06-21,89.0
MYS,Malaysia,2021-07-05,88.0
MYS,Malaysia,2021-07-19,89.0
NOR,Norway,2020-03-16,3.0
NOR,Norway,2020-03-23,3.0
NOR,Norway,2020-03-29,4.0
NOR,Norway,2020-04-05,1.0
NOR,Norway,2020-04-12,9.0
NOR,Norway,2020-04-19,6.0
NOR,Norway,2020-04-26,5.0
NOR,Norway,2020-05-03,7.0
NOR,Norway,2020-05-25,5.0
NOR,Norway,2020-09-14,16.0
NOR,Norway,2020-09-27,18.0
NOR,Norway,2020-10-11,24.0
NOR,Norway,2020-11-09,40.0
NOR,Norway,2020-11-22,47.0
NOR,Norway,2020-12-07,48.0
NOR,Norway,2021-01-17,62.0
NOR,Norway,2021-02-01,59.0
NOR,Norway,2021-02-14,59.0
NOR,Norway,2021-02-28,66.0
NOR,Norway,2021-03-14,66.0
NOR,Norway,2021-03-29,71.0
NOR,Norway,2021-04-12,76.0
NOR,Norway,2021-05-10,69.0
NOR,Norway,2021-06-07,65.0
PHL,Philippines,2020-02-24,62.0
PHL,Philippines,2020-03-02,61.0
PHL,Philippines,2020-03-09,59.0
PHL,Philippines,2020-03-16,59.0
PHL,Philippines,2020-03-23,76.0
PHL,Philippines,2020-03-30,82.0
PHL,Philippines,2020-04-06,84.0
PHL,Philippines,2020-04-13,83.0
PHL,Philippines,2020-04-20,81.0
PHL,Philippines,2020-04-27,83.0
PHL,Philippines,2020-05-04,84.0
PHL,Philippines,2020-05-25,82.0
PHL,Philippines,2020-06-08,84.0
PHL,Philippines,2020-06-22,82.0
PHL,Philippines,2020-07-06,84.0
PHL,Philippines,2020-07-20,84.0
PHL,Philippines,2020-08-03,83.0
PHL,Philippines,2020-08-17,86.0
PHL,Philippines,2020-08-31,86.0
PHL,Philippines,2020-09-14,87.0
PHL,Philippines,2020-09-28,87.0
PHL,Philippines,2020-10-12,88.0
PHL,Philippines,2020-10-26,84.0
PHL,Philippines,2020-11-09,85.0
PHL,Philippines,2020-11-23,85.0
PHL,Philippines,2020-12-07,88.0
PHL,Philippines,2020-12-21,86.0
PHL,Philippines,2021-01-04,87.0
PHL,Philippines,2021-01-18,84.0
PHL,Philippines,2021-02-01,84.0
PHL,Philippines,2021-02-15,83.0
PHL,Philippines,2021-03-01,82.0
PHL,Philippines,2021-03-15,83.0
PHL,Philippines,2021-03-29,81.0
PHL,Philippines,2021-04-12,84.0
PHL,Philippines,2021-04-26,85.0
PHL,Philippines,2021-05-10,84.0
PHL,Philippines,2021-05-24,81.0
PHL,Philippines,2021-06-07,86.0
PHL,Philippines,2021-06-21,87.0
PHL,Philippines,2021-07-06,85.0
PHL,Philippines,2021-07-19,87.0
SAU,Saudi Arabia,2020-03-18,35.0
SAU,Saudi Arabia,2020-03-25,47.0
SAU,Saudi Arabia,2020-04-01,54.0
SAU,Saudi Arabia,2020-04-07,48.0
SAU,Saudi Arabia,2020-04-14,59.0
SAU,Saudi Arabia,2020-04-22,60.0
SAU,Saudi Arabia,2020-04-29,56.0
SAU,Saudi Arabia,2020-05-04,63.0
SAU,Saudi Arabia,2020-06-03,72.0
SAU,Saudi Arabia,2020-06-10,73.0
SAU,Saudi Arabia,2020-06-17,71.0
SAU,Saudi Arabia,2020-07-13,75.0
SAU,Saudi Arabia,2020-07-29,71.0
SAU,Saudi Arabia,2020-08-10,71.0
SAU,Saudi Arabia,2020-08-19,69.0
SAU,Saudi Arabia,2020-08-31,68.0
SAU,Saudi Arabia,2020-09-30,66.0
SAU,Saudi Arabia,2020-10-07,71.0
SAU,Saudi Arabia,2020-10-14,69.0
SAU,Saudi Arabia,2020-11-02,71.0
SAU,Saudi Arabia,2020-11-09,72.0
SAU,Saudi Arabia,2020-11-17,71.0
SAU,Saudi Arabia,2020-11-30,75.0
SAU,Saudi Arabia,2020-12-16,69.0
SAU,Saudi Arabia,2020-12-23,68.0
SAU,Saudi Arabia,2021-01-10,66.0
SAU,Saudi Arabia,2021-02-01,67.0
SAU,Saudi Arabia,2021-02-08,71.0
SAU,Saudi Arabia,2021-02-21,76.0
SAU,Saudi Arabia,2021-03-07,72.0
SAU,Saudi Arabia,2021-03-16,71.0
SAU,Saudi Arabia,2021-05-10,71.0
SAU,Saudi Arabia,2021-05-24,72.0
