country,date,jhu-cases
AGO,2020-02-12,0
AGO,2020-02-13,0
AGO,2020-02-14,0
AGO,2020-02-15,0
AGO,2020-02-16,0
AGO,2020-02-17,0
AGO,2020-02-18,0
AGO,2020-02-19,0
AGO,2020-02-20,0
AGO,2020-02-21,0
AGO,2020-02-22,0
AGO,2020-02-23,0
AGO,2020-02-24,0
AGO,2020-02-25,0
AGO,2020-02-26,0
AGO,2020-02-27,0
AGO,2020-02-28,0
AGO,2020-02-29,0
AGO,2020-03-01,0
AGO,2020-03-02,0
AGO,2020-03-03,0
AGO,2020-03-04,0
AGO,2020-03-05,0
AGO,2020-03-06,0
AGO,2020-03-07,0
AGO,2020-03-08,0
AGO,2020-03-09,0
AGO,2020-03-10,0
AGO,2020-03-11,0
AGO,2020-03-12,0
AGO,2020-03-13,0
AGO,2020-03-14,0
AGO,2020-03-15,0
AGO,2020-03-16,0
AGO,2020-03-17,0
AGO,2020-03-18,0
AGO,2020-03-19,0
AGO,2020-03-20,1
AGO,2020-03-21,2
AGO,2020-03-22,2
AGO,2020-03-23,3
AGO,2020-03-24,3
AGO,2020-03-25,3
AGO,2020-03-26,4
AGO,2020-03-27,4
AGO,2020-03-28,5
AGO,2020-03-29,7
AGO,2020-03-30,7
AGO,2020-03-31,7
AGO,2020-04-01,8
AGO,2020-04-02,8
AGO,2020-04-03,8
AGO,2020-04-04,10
AGO,2020-04-05,14
AGO,2020-04-06,16
AGO,2020-04-07,17
AGO,2020-04-08,19
AGO,2020-04-09,19
AGO,2020-04-10,19
AGO,2020-04-11,19
AGO,2020-04-12,19
AGO,2020-04-13,19
AGO,2020-04-14,19
AGO,2020-04-15,19
AGO,2020-04-16,19
AGO,2020-04-17,19
AGO,2020-04-18,24
AGO,2020-04-19,24
AGO,2020-04-20,24
AGO,2020-04-21,24
AGO,2020-04-22,25
AGO,2020-04-23,25
AGO,2020-04-24,25
AGO,2020-04-25,25
AGO,2020-04-26,26
AGO,2020-04-27,27
AGO,2020-04-28,27
AGO,2020-04-29,27
AGO,2020-04-30,27
AGO,2020-05-01,30
AGO,2020-05-02,35
AGO,2020-05-03,35
AGO,2020-05-04,35
AGO,2020-05-05,36
AGO,2020-05-06,36
AGO,2020-05-07,36
AGO,2020-05-08,43
AGO,2020-05-09,43
AGO,2020-05-10,45
AGO,2020-05-11,45
AGO,2020-05-12,45
AGO,2020-05-13,45
AGO,2020-05-14,48
AGO,2020-05-15,48
AGO,2020-05-16,48
AGO,2020-05-17,48
AGO,2020-05-18,50
AGO,2020-05-19,52
AGO,2020-05-20,52
AGO,2020-05-21,58
AGO,2020-05-22,60
AGO,2020-05-23,61
AGO,2020-05-24,69
AGO,2020-05-25,70
AGO,2020-05-26,70
AGO,2020-05-27,71
AGO,2020-05-28,74
AGO,2020-05-29,81
AGO,2020-05-30,84
AGO,2020-05-31,86
AGO,2020-06-01,86
AGO,2020-06-02,86
AGO,2020-06-03,86
AGO,2020-06-04,86
AGO,2020-06-05,86
AGO,2020-06-06,88
AGO,2020-06-07,91
AGO,2020-06-08,92
AGO,2020-06-09,96
AGO,2020-06-10,113
AGO,2020-06-11,118
AGO,2020-06-12,130
AGO,2020-06-13,138
AGO,2020-06-14,140
AGO,2020-06-15,142
AGO,2020-06-16,148
AGO,2020-06-17,155
AGO,2020-06-18,166
AGO,2020-06-19,172
AGO,2020-06-20,176
AGO,2020-06-21,183
AGO,2020-06-22,186
AGO,2020-06-23,189
AGO,2020-06-24,197
AGO,2020-06-25,212
AGO,2020-06-26,212
AGO,2020-06-27,259
AGO,2020-06-28,267
AGO,2020-06-29,276
AGO,2020-06-30,284
AGO,2020-07-01,291
AGO,2020-07-02,315
AGO,2020-07-03,328
AGO,2020-07-04,346
AGO,2020-07-05,346
AGO,2020-07-06,346
AGO,2020-07-07,386
AGO,2020-07-08,386
AGO,2020-07-09,396
AGO,2020-07-10,458
AGO,2020-07-11,462
AGO,2020-07-12,506
AGO,2020-07-13,525
AGO,2020-07-14,541
AGO,2020-07-15,576
AGO,2020-07-16,607
AGO,2020-07-17,638
AGO,2020-07-18,687
AGO,2020-07-19,705
AGO,2020-07-20,749
AGO,2020-07-21,779
AGO,2020-07-22,812
AGO,2020-07-23,851
AGO,2020-07-24,880
AGO,2020-07-25,916
ALB,2020-01-22,0
ALB,2020-01-23,0
ALB,2020-01-24,0
ALB,2020-01-25,0
ALB,2020-01-26,0
ALB,2020-01-27,0
ALB,2020-01-28,0
ALB,2020-01-29,0
ALB,2020-01-30,0
ALB,2020-01-31,0
ALB,2020-02-01,0
ALB,2020-02-02,0
ALB,2020-02-03,0
ALB,2020-02-04,0
ALB,2020-02-05,0
ALB,2020-02-06,0
ALB,2020-02-07,0
ALB,2020-02-08,0
ALB,2020-02-09,0
ALB,2020-02-10,0
ALB,2020-02-11,0
ALB,2020-02-12,0
ALB,2020-02-13,0
ALB,2020-02-14,0
ALB,2020-02-15,0
ALB,2020-02-16,0
ALB,2020-02-17,0
ALB,2020-02-18,0
ALB,2020-02-19,0
ALB,2020-02-20,0
ALB,2020-02-21,0
ALB,2020-02-22,0
ALB,2020-02-23,0
ALB,2020-02-24,0
ALB,2020-02-25,0
ALB,2020-02-26,0
ALB,2020-02-27,0
ALB,2020-02-28,0
ALB,2020-02-29,0
ALB,2020-03-01,0
ALB,2020-03-02,0
ALB,2020-03-03,0
ALB,2020-03-04,0
ALB,2020-03-05,0
ALB,2020-03-06,0
ALB,2020-03-07,0
ALB,2020-03-08,0
ALB,2020-03-09,2
ALB,2020-03-10,10
ALB,2020-03-11,12
ALB,2020-03-12,23
ALB,2020-03-13,33
ALB,2020-03-14,38
ALB,2020-03-15,42
ALB,2020-03-16,51
ALB,2020-03-17,55
ALB,2020-03-18,59
ALB,2020-03-19,64
ALB,2020-03-20,70
ALB,2020-03-21,76
ALB,2020-03-22,89
ALB,2020-03-23,104
ALB,2020-03-24,123
ALB,2020-03-25,146
ALB,2020-03-26,174
ALB,2020-03-27,186
ALB,2020-03-28,197
ALB,2020-03-29,212
ALB,2020-03-30,223
ALB,2020-03-31,243
ALB,2020-04-01,259
ALB,2020-04-02,277
ALB,2020-04-03,304
ALB,2020-04-04,333
ALB,2020-04-05,361
ALB,2020-04-06,377
ALB,2020-04-07,383
ALB,2020-04-08,400
ALB,2020-04-09,409
ALB,2020-04-10,416
ALB,2020-04-11,433
ALB,2020-04-12,446
ALB,2020-04-13,467
ALB,2020-04-14,475
ALB,2020-04-15,494
ALB,2020-04-16,518
ALB,2020-04-17,539
ALB,2020-04-18,548
ALB,2020-04-19,562
ALB,2020-04-20,584
ALB,2020-04-21,609
ALB,2020-04-22,634
ALB,2020-04-23,663
ALB,2020-04-24,678
ALB,2020-04-25,712
ALB,2020-04-26,726
ALB,2020-04-27,736
ALB,2020-04-28,750
ALB,2020-04-29,766
ALB,2020-04-30,773
ALB,2020-05-01,782
ALB,2020-05-02,789
ALB,2020-05-03,795
ALB,2020-05-04,803
ALB,2020-05-05,820
ALB,2020-05-06,832
ALB,2020-05-07,842
ALB,2020-05-08,850
ALB,2020-05-09,856
ALB,2020-05-10,868
ALB,2020-05-11,872
ALB,2020-05-12,876
ALB,2020-05-13,880
ALB,2020-05-14,898
ALB,2020-05-15,916
ALB,2020-05-16,933
ALB,2020-05-17,946
ALB,2020-05-18,948
ALB,2020-05-19,949
ALB,2020-05-20,964
ALB,2020-05-21,969
ALB,2020-05-22,981
ALB,2020-05-23,989
ALB,2020-05-24,998
ALB,2020-05-25,1004
ALB,2020-05-26,1029
ALB,2020-05-27,1050
ALB,2020-05-28,1076
ALB,2020-05-29,1099
ALB,2020-05-30,1122
ALB,2020-05-31,1137
ALB,2020-06-01,1143
ALB,2020-06-02,1164
ALB,2020-06-03,1184
ALB,2020-06-04,1197
ALB,2020-06-05,1212
ALB,2020-06-06,1232
ALB,2020-06-07,1246
ALB,2020-06-08,1263
ALB,2020-06-09,1299
ALB,2020-06-10,1341
ALB,2020-06-11,1385
ALB,2020-06-12,1416
ALB,2020-06-13,1464
ALB,2020-06-14,1521
ALB,2020-06-15,1590
ALB,2020-06-16,1672
ALB,2020-06-17,1722
ALB,2020-06-18,1788
ALB,2020-06-19,1838
ALB,2020-06-20,1891
ALB,2020-06-21,1962
ALB,2020-06-22,1995
ALB,2020-06-23,2047
ALB,2020-06-24,2114
ALB,2020-06-25,2192
ALB,2020-06-26,2269
ALB,2020-06-27,2330
ALB,2020-06-28,2402
ALB,2020-06-29,2466
ALB,2020-06-30,2535
ALB,2020-07-01,2580
ALB,2020-07-02,2662
ALB,2020-07-03,2752
ALB,2020-07-04,2819
ALB,2020-07-05,2893
ALB,2020-07-06,2964
ALB,2020-07-07,3038
ALB,2020-07-08,3106
ALB,2020-07-09,3188
ALB,2020-07-10,3278
ALB,2020-07-11,3371
ALB,2020-07-12,3454
ALB,2020-07-13,3571
ALB,2020-07-14,3667
ALB,2020-07-15,3752
ALB,2020-07-16,3851
ALB,2020-07-17,3906
ALB,2020-07-18,4008
ALB,2020-07-19,4090
ALB,2020-07-20,4171
ALB,2020-07-21,4290
ALB,2020-07-22,4358
ALB,2020-07-23,4466
ALB,2020-07-24,4570
ALB,2020-07-25,4637
AND,2020-01-22,0
AND,2020-01-23,0
AND,2020-01-24,0
AND,2020-01-25,0
AND,2020-01-26,0
AND,2020-01-27,0
AND,2020-01-28,0
AND,2020-01-29,0
AND,2020-01-30,0
AND,2020-01-31,0
AND,2020-02-01,0
AND,2020-02-02,0
AND,2020-02-03,0
AND,2020-02-04,0
AND,2020-02-05,0
AND,2020-02-06,0
AND,2020-02-07,0
AND,2020-02-08,0
AND,2020-02-09,0
AND,2020-02-10,0
AND,2020-02-11,0
AND,2020-02-12,0
AND,2020-02-13,0
AND,2020-02-14,0
AND,2020-02-15,0
AND,2020-02-16,0
AND,2020-02-17,0
AND,2020-02-18,0
AND,2020-02-19,0
AND,2020-02-20,0
AND,2020-02-21,0
AND,2020-02-22,0
AND,2020-02-23,0
AND,2020-02-24,0
AND,2020-02-25,0
AND,2020-02-26,0
AND,2020-02-27,0
AND,2020-02-28,0
AND,2020-02-29,0
AND,2020-03-01,0
AND,2020-03-02,1
AND,2020-03-03,1
AND,2020-03-04,1
AND,2020-03-05,1
AND,2020-03-06,1
AND,2020-03-07,1
AND,2020-03-08,1
AND,2020-03-09,1
AND,2020-03-10,1
AND,2020-03-11,1
AND,2020-03-12,1
AND,2020-03-13,1
AND,2020-03-14,1
AND,2020-03-15,1
AND,2020-03-16,2
AND,2020-03-17,39
AND,2020-03-18,39
AND,2020-03-19,53
AND,2020-03-20,75
AND,2020-03-21,88
AND,2020-03-22,113
AND,2020-03-23,133
AND,2020-03-24,164
AND,2020-03-25,188
AND,2020-03-26,224
AND,2020-03-27,267
AND,2020-03-28,308
AND,2020-03-29,334
AND,2020-03-30,370
AND,2020-03-31,376
AND,2020-04-01,390
AND,2020-04-02,428
AND,2020-04-03,439
AND,2020-04-04,466
AND,2020-04-05,501
AND,2020-04-06,525
AND,2020-04-07,545
AND,2020-04-08,564
AND,2020-04-09,583
AND,2020-04-10,601
AND,2020-04-11,601
AND,2020-04-12,638
AND,2020-04-13,646
AND,2020-04-14,659
AND,2020-04-15,673
AND,2020-04-16,673
AND,2020-04-17,696
AND,2020-04-18,704
AND,2020-04-19,713
AND,2020-04-20,717
AND,2020-04-21,717
AND,2020-04-22,723
AND,2020-04-23,723
AND,2020-04-24,731
AND,2020-04-25,738
AND,2020-04-26,738
AND,2020-04-27,743
AND,2020-04-28,743
AND,2020-04-29,743
AND,2020-04-30,745
AND,2020-05-01,745
AND,2020-05-02,747
AND,2020-05-03,748
AND,2020-05-04,750
AND,2020-05-05,751
AND,2020-05-06,751
AND,2020-05-07,752
AND,2020-05-08,752
AND,2020-05-09,754
AND,2020-05-10,755
AND,2020-05-11,755
AND,2020-05-12,758
AND,2020-05-13,760
AND,2020-05-14,761
AND,2020-05-15,761
AND,2020-05-16,761
AND,2020-05-17,761
AND,2020-05-18,761
AND,2020-05-19,761
AND,2020-05-20,762
AND,2020-05-21,762
AND,2020-05-22,762
AND,2020-05-23,762
AND,2020-05-24,762
AND,2020-05-25,763
AND,2020-05-26,763
AND,2020-05-27,763
AND,2020-05-28,763
AND,2020-05-29,764
AND,2020-05-30,764
AND,2020-05-31,764
AND,2020-06-01,765
AND,2020-06-02,844
AND,2020-06-03,851
AND,2020-06-04,852
AND,2020-06-05,852
AND,2020-06-06,852
AND,2020-06-07,852
AND,2020-06-08,852
AND,2020-06-09,852
AND,2020-06-10,852
AND,2020-06-11,852
AND,2020-06-12,853
AND,2020-06-13,853
AND,2020-06-14,853
AND,2020-06-15,853
AND,2020-06-16,854
AND,2020-06-17,854
AND,2020-06-18,855
AND,2020-06-19,855
AND,2020-06-20,855
AND,2020-06-21,855
AND,2020-06-22,855
AND,2020-06-23,855
AND,2020-06-24,855
AND,2020-06-25,855
AND,2020-06-26,855
AND,2020-06-27,855
AND,2020-06-28,855
AND,2020-06-29,855
AND,2020-06-30,855
AND,2020-07-01,855
AND,2020-07-02,855
AND,2020-07-03,855
AND,2020-07-04,855
AND,2020-07-05,855
AND,2020-07-06,855
AND,2020-07-07,855
AND,2020-07-08,855
AND,2020-07-09,855
AND,2020-07-10,855
AND,2020-07-11,855
AND,2020-07-12,855
AND,2020-07-13,858
AND,2020-07-14,861
AND,2020-07-15,862
AND,2020-07-16,877
AND,2020-07-17,880
AND,2020-07-18,880
AND,2020-07-19,880
AND,2020-07-20,884
AND,2020-07-21,884
AND,2020-07-22,889
AND,2020-07-23,889
AND,2020-07-24,897
AND,2020-07-25,897
ARE,2020-01-22,0
ARE,2020-01-23,0
ARE,2020-01-24,0
ARE,2020-01-25,0
ARE,2020-01-26,0
ARE,2020-01-27,0
ARE,2020-01-28,0
ARE,2020-01-29,4
ARE,2020-01-30,4
ARE,2020-01-31,4
ARE,2020-02-01,4
ARE,2020-02-02,5
ARE,2020-02-03,5
ARE,2020-02-04,5
ARE,2020-02-05,5
ARE,2020-02-06,5
ARE,2020-02-07,5
ARE,2020-02-08,7
ARE,2020-02-09,7
ARE,2020-02-10,8
ARE,2020-02-11,8
ARE,2020-02-12,8
ARE,2020-02-13,8
ARE,2020-02-14,8
ARE,2020-02-15,8
ARE,2020-02-16,9
ARE,2020-02-17,9
ARE,2020-02-18,9
ARE,2020-02-19,9
ARE,2020-02-20,9
ARE,2020-02-21,9
ARE,2020-02-22,13
ARE,2020-02-23,13
ARE,2020-02-24,13
ARE,2020-02-25,13
ARE,2020-02-26,13
ARE,2020-02-27,13
ARE,2020-02-28,19
ARE,2020-02-29,21
ARE,2020-03-01,21
ARE,2020-03-02,21
ARE,2020-03-03,27
ARE,2020-03-04,27
ARE,2020-03-05,29
ARE,2020-03-06,29
ARE,2020-03-07,45
ARE,2020-03-08,45
ARE,2020-03-09,45
ARE,2020-03-10,74
ARE,2020-03-11,74
ARE,2020-03-12,85
ARE,2020-03-13,85
ARE,2020-03-14,85
ARE,2020-03-15,98
ARE,2020-03-16,98
ARE,2020-03-17,98
ARE,2020-03-18,113
ARE,2020-03-19,140
ARE,2020-03-20,140
ARE,2020-03-21,153
ARE,2020-03-22,153
ARE,2020-03-23,198
ARE,2020-03-24,248
ARE,2020-03-25,333
ARE,2020-03-26,333
ARE,2020-03-27,405
ARE,2020-03-28,468
ARE,2020-03-29,570
ARE,2020-03-30,611
ARE,2020-03-31,664
ARE,2020-04-01,814
ARE,2020-04-02,1024
ARE,2020-04-03,1264
ARE,2020-04-04,1505
ARE,2020-04-05,1799
ARE,2020-04-06,2076
ARE,2020-04-07,2359
ARE,2020-04-08,2659
ARE,2020-04-09,2990
ARE,2020-04-10,3360
ARE,2020-04-11,3736
ARE,2020-04-12,4123
ARE,2020-04-13,4521
ARE,2020-04-14,4933
ARE,2020-04-15,5365
ARE,2020-04-16,5825
ARE,2020-04-17,6302
ARE,2020-04-18,6302
ARE,2020-04-19,6781
ARE,2020-04-20,7265
ARE,2020-04-21,7755
ARE,2020-04-22,8238
ARE,2020-04-23,8756
ARE,2020-04-24,9281
ARE,2020-04-25,9813
ARE,2020-04-26,10349
ARE,2020-04-27,10839
ARE,2020-04-28,11380
ARE,2020-04-29,11929
ARE,2020-04-30,12481
ARE,2020-05-01,13038
ARE,2020-05-02,13599
ARE,2020-05-03,14163
ARE,2020-05-04,14730
ARE,2020-05-05,15192
ARE,2020-05-06,15738
ARE,2020-05-07,16240
ARE,2020-05-08,16793
ARE,2020-05-09,17417
ARE,2020-05-10,18198
ARE,2020-05-11,18878
ARE,2020-05-12,19661
ARE,2020-05-13,20386
ARE,2020-05-14,21084
ARE,2020-05-15,21831
ARE,2020-05-16,22627
ARE,2020-05-17,23358
ARE,2020-05-18,24190
ARE,2020-05-19,25063
ARE,2020-05-20,26004
ARE,2020-05-21,26898
ARE,2020-05-22,27892
ARE,2020-05-23,28704
ARE,2020-05-24,29485
ARE,2020-05-25,30307
ARE,2020-05-26,31086
ARE,2020-05-27,31969
ARE,2020-05-28,32532
ARE,2020-05-29,33170
ARE,2020-05-30,33896
ARE,2020-05-31,34557
ARE,2020-06-01,35192
ARE,2020-06-02,35788
ARE,2020-06-03,36359
ARE,2020-06-04,37018
ARE,2020-06-05,37642
ARE,2020-06-06,38268
ARE,2020-06-07,38808
ARE,2020-06-08,39376
ARE,2020-06-09,39904
ARE,2020-06-10,40507
ARE,2020-06-11,40986
ARE,2020-06-12,41499
ARE,2020-06-13,41990
ARE,2020-06-14,42294
ARE,2020-06-15,42636
ARE,2020-06-16,42982
ARE,2020-06-17,43364
ARE,2020-06-18,43752
ARE,2020-06-19,44145
ARE,2020-06-20,44533
ARE,2020-06-21,44925
ARE,2020-06-22,45303
ARE,2020-06-23,45683
ARE,2020-06-24,46133
ARE,2020-06-25,46563
ARE,2020-06-26,46973
ARE,2020-06-27,47360
ARE,2020-06-28,47797
ARE,2020-06-29,48246
ARE,2020-06-30,48667
ARE,2020-07-01,49069
ARE,2020-07-02,49469
ARE,2020-07-03,50141
ARE,2020-07-04,50857
ARE,2020-07-05,51540
ARE,2020-07-06,52068
ARE,2020-07-07,52600
ARE,2020-07-08,53045
ARE,2020-07-09,53577
ARE,2020-07-10,54050
ARE,2020-07-11,54453
ARE,2020-07-12,54854
ARE,2020-07-13,55198
ARE,2020-07-14,55573
ARE,2020-07-15,55848
ARE,2020-07-16,56129
ARE,2020-07-17,56422
ARE,2020-07-18,56711
ARE,2020-07-19,56922
ARE,2020-07-20,57193
ARE,2020-07-21,57498
ARE,2020-07-22,57734
ARE,2020-07-23,57988
ARE,2020-07-24,58249
ARE,2020-07-25,58562
ARG,2020-01-22,0
ARG,2020-01-23,0
ARG,2020-01-24,0
ARG,2020-01-25,0
ARG,2020-01-26,0
ARG,2020-01-27,0
ARG,2020-01-28,0
ARG,2020-01-29,0
ARG,2020-01-30,0
ARG,2020-01-31,0
ARG,2020-02-01,0
ARG,2020-02-02,0
ARG,2020-02-03,0
ARG,2020-02-04,0
ARG,2020-02-05,0
ARG,2020-02-06,0
ARG,2020-02-07,0
ARG,2020-02-08,0
ARG,2020-02-09,0
ARG,2020-02-10,0
ARG,2020-02-11,0
ARG,2020-02-12,0
ARG,2020-02-13,0
ARG,2020-02-14,0
ARG,2020-02-15,0
ARG,2020-02-16,0
ARG,2020-02-17,0
ARG,2020-02-18,0
ARG,2020-02-19,0
ARG,2020-02-20,0
ARG,2020-02-21,0
ARG,2020-02-22,0
ARG,2020-02-23,0
ARG,2020-02-24,0
ARG,2020-02-25,0
ARG,2020-02-26,0
ARG,2020-02-27,0
ARG,2020-02-28,0
ARG,2020-02-29,0
ARG,2020-03-01,0
ARG,2020-03-02,0
ARG,2020-03-03,1
ARG,2020-03-04,1
ARG,2020-03-05,1
ARG,2020-03-06,2
ARG,2020-03-07,8
ARG,2020-03-08,12
ARG,2020-03-09,12
ARG,2020-03-10,17
ARG,2020-03-11,19
ARG,2020-03-12,19
ARG,2020-03-13,31
ARG,2020-03-14,34
ARG,2020-03-15,45
ARG,2020-03-16,56
ARG,2020-03-17,68
ARG,2020-03-18,79
ARG,2020-03-19,97
ARG,2020-03-20,128
ARG,2020-03-21,158
ARG,2020-03-22,266
ARG,2020-03-23,301
ARG,2020-03-24,387
ARG,2020-03-25,387
ARG,2020-03-26,502
ARG,2020-03-27,589
ARG,2020-03-28,690
ARG,2020-03-29,745
ARG,2020-03-30,820
ARG,2020-03-31,1054
ARG,2020-04-01,1054
ARG,2020-04-02,1133
ARG,2020-04-03,1265
ARG,2020-04-04,1451
ARG,2020-04-05,1451
ARG,2020-04-06,1554
ARG,2020-04-07,1628
ARG,2020-04-08,1715
ARG,2020-04-09,1795
ARG,2020-04-10,1975
ARG,2020-04-11,1975
ARG,2020-04-12,2142
ARG,2020-04-13,2208
ARG,2020-04-14,2277
ARG,2020-04-15,2443
ARG,2020-04-16,2571
ARG,2020-04-17,2669
ARG,2020-04-18,2758
ARG,2020-04-19,2839
ARG,2020-04-20,2941
ARG,2020-04-21,3031
ARG,2020-04-22,3144
ARG,2020-04-23,3435
ARG,2020-04-24,3607
ARG,2020-04-25,3780
ARG,2020-04-26,3892
ARG,2020-04-27,4003
ARG,2020-04-28,4127
ARG,2020-04-29,4285
ARG,2020-04-30,4428
ARG,2020-05-01,4532
ARG,2020-05-02,4681
ARG,2020-05-03,4783
ARG,2020-05-04,4887
ARG,2020-05-05,5020
ARG,2020-05-06,5208
ARG,2020-05-07,5371
ARG,2020-05-08,5611
ARG,2020-05-09,5776
ARG,2020-05-10,6034
ARG,2020-05-11,6278
ARG,2020-05-12,6563
ARG,2020-05-13,6879
ARG,2020-05-14,7134
ARG,2020-05-15,7479
ARG,2020-05-16,7805
ARG,2020-05-17,8068
ARG,2020-05-18,8371
ARG,2020-05-19,8809
ARG,2020-05-20,9283
ARG,2020-05-21,9931
ARG,2020-05-22,10649
ARG,2020-05-23,11353
ARG,2020-05-24,12076
ARG,2020-05-25,12628
ARG,2020-05-26,13228
ARG,2020-05-27,13933
ARG,2020-05-28,14702
ARG,2020-05-29,15419
ARG,2020-05-30,16214
ARG,2020-05-31,16851
ARG,2020-06-01,17415
ARG,2020-06-02,18319
