iso_code,country,date,yougov_fear_of_catching
FRA,France,2020-03-16,37
FRA,France,2020-03-23,49
FRA,France,2020-03-30,48
FRA,France,2020-04-06,47
FRA,France,2020-04-13,44
FRA,France,2020-04-20,44
FRA,France,2020-04-27,43
FRA,France,2020-05-04,40
FRA,France,2020-05-14,34
FRA,France,2020-05-25,35
FRA,France,2020-05-29,31
FRA,France,2020-06-10,31
FRA,France,2020-06-18,34
FRA,France,2020-06-25,33
FRA,France,2020-07-02,36
FRA,France,2020-07-09,35
FRA,France,2020-07-16,35
FRA,France,2020-07-23,35
FRA,France,2020-07-30,40
FRA,France,2020-08-07,38
FRA,France,2020-08-13,41
FRA,France,2020-08-21,35
FRA,France,2020-08-27,41
FRA,France,2020-09-10,39
GBR,United Kingdom,2020-03-17,45
GBR,United Kingdom,2020-03-23,55
GBR,United Kingdom,2020-03-30,66
GBR,United Kingdom,2020-04-06,69
GBR,United Kingdom,2020-04-13,60
GBR,United Kingdom,2020-04-20,65
GBR,United Kingdom,2020-04-27,59
GBR,United Kingdom,2020-05-16,48
GBR,United Kingdom,2020-05-26,54
GBR,United Kingdom,2020-05-29,50
GBR,United Kingdom,2020-06-11,49
GBR,United Kingdom,2020-06-26,53
GBR,United Kingdom,2020-07-07,54
GBR,United Kingdom,2020-07-14,46
GBR,United Kingdom,2020-07-21,55
GBR,United Kingdom,2020-08-04,57
GBR,United Kingdom,2020-08-19,55
HKG,Hong Kong SAR China,2020-03-16,53
HKG,Hong Kong SAR China,2020-03-20,54
HKG,Hong Kong SAR China,2020-03-27,64
HKG,Hong Kong SAR China,2020-04-03,65
HKG,Hong Kong SAR China,2020-04-10,64
HKG,Hong Kong SAR China,2020-04-17,57
HKG,Hong Kong SAR China,2020-04-24,62
HKG,Hong Kong SAR China,2020-05-01,62
HKG,Hong Kong SAR China,2020-05-07,47
HKG,Hong Kong SAR China,2020-05-15,49
HKG,Hong Kong SAR China,2020-06-03,49
HKG,Hong Kong SAR China,2020-06-10,53
HKG,Hong Kong SAR China,2020-06-25,53
HKG,Hong Kong SAR China,2020-07-09,50
HKG,Hong Kong SAR China,2020-07-23,53
HKG,Hong Kong SAR China,2020-08-02,59
HKG,Hong Kong SAR China,2020-08-05,59
HKG,Hong Kong SAR China,2020-08-07,53
HKG,Hong Kong SAR China,2020-08-14,61
HKG,Hong Kong SAR China,2020-08-21,56
IDN,Indonesia,2020-03-17,66
IDN,Indonesia,2020-03-24,63
IDN,Indonesia,2020-03-30,70
IDN,Indonesia,2020-04-06,85
IDN,Indonesia,2020-04-13,87
IDN,Indonesia,2020-04-20,86
IDN,Indonesia,2020-04-27,88
IDN,Indonesia,2020-05-04,86
IDN,Indonesia,2020-05-19,77
IDN,Indonesia,2020-06-17,75
IDN,Indonesia,2020-08-07,77
IDN,Indonesia,2020-08-20,76
IND,India,2020-02-24,80
IND,India,2020-03-02,82
IND,India,2020-03-09,72
IND,India,2020-03-16,73
IND,India,2020-03-23,78
IND,India,2020-03-30,85
IND,India,2020-04-06,75
IND,India,2020-04-13,78
IND,India,2020-04-20,77
IND,India,2020-04-27,77
IND,India,2020-05-04,83
IND,India,2020-05-14,81
IND,India,2020-05-22,87
IND,India,2020-05-30,83
IND,India,2020-06-08,83
IND,India,2020-06-10,81
IND,India,2020-06-22,83
IND,India,2020-06-25,84
IND,India,2020-07-06,84
IND,India,2020-07-10,80
IND,India,2020-07-20,83
IND,India,2020-07-23,80
IND,India,2020-08-03,82
IND,India,2020-08-08,82
IND,India,2020-08-17,83
IND,India,2020-08-21,80
IND,India,2020-08-31,84
ITA,Italy,2020-03-16,41
ITA,Italy,2020-03-23,42
ITA,Italy,2020-03-29,48
ITA,Italy,2020-04-05,38
ITA,Italy,2020-04-12,47
ITA,Italy,2020-04-19,48
ITA,Italy,2020-04-26,47
ITA,Italy,2020-05-03,41
ITA,Italy,2020-05-15,39
ITA,Italy,2020-05-25,33
ITA,Italy,2020-05-28,36
ITA,Italy,2020-06-07,31
ITA,Italy,2020-06-10,35
ITA,Italy,2020-08-07,39
ITA,Italy,2020-08-20,42
JPN,Japan,2020-02-24,80
JPN,Japan,2020-03-02,81
JPN,Japan,2020-03-09,83
JPN,Japan,2020-03-16,83
JPN,Japan,2020-03-23,90
JPN,Japan,2020-03-30,90
JPN,Japan,2020-04-06,89
JPN,Japan,2020-04-13,86
JPN,Japan,2020-04-20,85
JPN,Japan,2020-04-27,87
JPN,Japan,2020-05-04,85
JPN,Japan,2020-05-14,79
JPN,Japan,2020-05-25,88
JPN,Japan,2020-05-30,81
JPN,Japan,2020-06-08,85
JPN,Japan,2020-06-10,78
JPN,Japan,2020-06-22,86
JPN,Japan,2020-06-26,80
JPN,Japan,2020-07-06,86
JPN,Japan,2020-07-10,80
JPN,Japan,2020-07-20,83
JPN,Japan,2020-07-23,81
JPN,Japan,2020-08-03,84
JPN,Japan,2020-08-08,82
JPN,Japan,2020-08-17,87
JPN,Japan,2020-08-21,80
JPN,Japan,2020-08-31,87
KOR,South Korea,2020-05-21,28
KOR,South Korea,2020-06-15,30
KOR,South Korea,2020-06-25,31
KOR,South Korea,2020-07-14,33
KOR,South Korea,2020-07-31,32
KOR,South Korea,2020-08-07,40
MEX,Mexico,2020-03-02,34
MEX,Mexico,2020-03-17,41
MEX,Mexico,2020-03-23,52
MEX,Mexico,2020-03-30,60
MEX,Mexico,2020-04-06,60
MEX,Mexico,2020-04-13,59
MEX,Mexico,2020-04-20,60
MEX,Mexico,2020-04-27,57
MEX,Mexico,2020-05-26,55
MEX,Mexico,2020-06-01,54
MEX,Mexico,2020-06-08,50
MEX,Mexico,2020-06-15,55
MEX,Mexico,2020-06-22,55
MEX,Mexico,2020-07-06,58
MEX,Mexico,2020-07-14,58
MEX,Mexico,2020-07-20,58
MEX,Mexico,2020-07-27,58
MEX,Mexico,2020-08-03,57
MEX,Mexico,2020-08-07,48
MEX,Mexico,2020-08-10,63
MEX,Mexico,2020-08-17,59
MEX,Mexico,2020-08-21,49
MEX,Mexico,2020-08-25,59
MEX,Mexico,2020-09-01,57
MEX,Mexico,2020-09-08,55
MYS,Malaysia,2020-02-24,72
MYS,Malaysia,2020-03-02,73
MYS,Malaysia,2020-03-09,69
MYS,Malaysia,2020-03-16,75
MYS,Malaysia,2020-03-23,81
MYS,Malaysia,2020-03-30,80
MYS,Malaysia,2020-04-06,82
MYS,Malaysia,2020-04-13,80
MYS,Malaysia,2020-04-20,82
MYS,Malaysia,2020-04-27,82
MYS,Malaysia,2020-05-04,83
MYS,Malaysia,2020-05-14,86
MYS,Malaysia,2020-05-25,85
MYS,Malaysia,2020-05-29,80
MYS,Malaysia,2020-06-08,81
MYS,Malaysia,2020-06-22,83
MYS,Malaysia,2020-06-26,80
MYS,Malaysia,2020-07-06,82
MYS,Malaysia,2020-07-08,83
MYS,Malaysia,2020-07-20,78
MYS,Malaysia,2020-07-24,84
MYS,Malaysia,2020-08-03,84
MYS,Malaysia,2020-08-07,80
MYS,Malaysia,2020-08-17,83
MYS,Malaysia,2020-08-21,79
MYS,Malaysia,2020-08-31,83
NLD,Netherlands,2020-05-21,28
NLD,Netherlands,2020-06-15,30
NLD,Netherlands,2020-06-25,31
NLD,Netherlands,2020-07-14,33
NLD,Netherlands,2020-08-07,40
NOR,Norway,2020-03-12,38
NOR,Norway,2020-03-19,44
NOR,Norway,2020-03-25,50
NOR,Norway,2020-04-02,48
NOR,Norway,2020-04-08,49
NOR,Norway,2020-04-16,45
NOR,Norway,2020-04-23,46
NOR,Norway,2020-04-30,45
NOR,Norway,2020-05-07,57
NOR,Norway,2020-05-13,59
NOR,Norway,2020-05-28,56
NOR,Norway,2020-06-08,37
NOR,Norway,2020-06-12,42
NOR,Norway,2020-06-21,41
NOR,Norway,2020-06-24,58
NOR,Norway,2020-06-25,44
NOR,Norway,2020-07-09,44
NOR,Norway,2020-07-16,43
NOR,Norway,2020-07-23,44
NOR,Norway,2020-07-30,45
NOR,Norway,2020-08-06,45
NOR,Norway,2020-08-07,57
NOR,Norway,2020-08-19,62
NOR,Norway,2020-08-25,47
PHL,Philippines,2020-02-21,51
PHL,Philippines,2020-02-28,54
PHL,Philippines,2020-03-06,57
PHL,Philippines,2020-03-13,58
PHL,Philippines,2020-03-20,61
PHL,Philippines,2020-03-27,67
PHL,Philippines,2020-04-03,73
PHL,Philippines,2020-04-10,71
PHL,Philippines,2020-04-17,71
PHL,Philippines,2020-04-24,69
PHL,Philippines,2020-05-01,71
PHL,Philippines,2020-05-22,67
PHL,Philippines,2020-05-28,61
PHL,Philippines,2020-06-05,68
PHL,Philippines,2020-06-10,60
PHL,Philippines,2020-06-19,68
PHL,Philippines,2020-07-07,69
PHL,Philippines,2020-07-10,65
PHL,Philippines,2020-07-20,69
PHL,Philippines,2020-07-24,65
PHL,Philippines,2020-08-03,68
PHL,Philippines,2020-08-14,66
PHL,Philippines,2020-08-21,62
PHL,Philippines,2020-08-28,67
SAU,Saudi Arabia,2020-03-18,61
SAU,Saudi Arabia,2020-03-25,66
SAU,Saudi Arabia,2020-04-01,72
SAU,Saudi Arabia,2020-04-07,68
SAU,Saudi Arabia,2020-04-14,72
SAU,Saudi Arabia,2020-04-22,73
SAU,Saudi Arabia,2020-04-29,73
SAU,Saudi Arabia,2020-05-04,70
SAU,Saudi Arabia,2020-05-28,62
SAU,Saudi Arabia,2020-06-03,63
SAU,Saudi Arabia,2020-06-10,63
SAU,Saudi Arabia,2020-06-17,63
SAU,Saudi Arabia,2020-06-25,60
SAU,Saudi Arabia,2020-07-05,64
SAU,Saudi Arabia,2020-07-13,65
SAU,Saudi Arabia,2020-07-21,61
SAU,Saudi Arabia,2020-07-29,62
SAU,Saudi Arabia,2020-08-11,60
SAU,Saudi Arabia,2020-08-20,55
SAU,Saudi Arabia,2020-08-24,61
SGP,Singapore,2020-02-25,59
SGP,Singapore,2020-03-03,58
SGP,Singapore,2020-03-10,60
SGP,Singapore,2020-03-17,63
SGP,Singapore,2020-03-24,63
SGP,Singapore,2020-03-31,68
SGP,Singapore,2020-04-07,72
SGP,Singapore,2020-04-14,70
SGP,Singapore,2020-04-21,68
SGP,Singapore,2020-04-28,68
SGP,Singapore,2020-05-05,65
SGP,Singapore,2020-05-14,54
SGP,Singapore,2020-05-25,58
SGP,Singapore,2020-06-04,54
SGP,Singapore,2020-06-08,49
SGP,Singapore,2020-06-10,53
SGP,Singapore,2020-06-22,52
SGP,Singapore,2020-06-25,52
SGP,Singapore,2020-07-06,52
SGP,Singapore,2020-07-20,51
SGP,Singapore,2020-07-25,52
SGP,Singapore,2020-08-03,55
SGP,Singapore,2020-08-08,57
SGP,Singapore,2020-08-17,54
SGP,Singapore,2020-08-20,53
SGP,Singapore,2020-08-31,54
SWE,Sweden,2020-03-01,24
SWE,Sweden,2020-03-13,38
SWE,Sweden,2020-03-20,48
SWE,Sweden,2020-03-27,61
SWE,Sweden,2020-04-03,56
SWE,Sweden,2020-04-14,60
SWE,Sweden,2020-04-17,56
SWE,Sweden,2020-04-24,54
SWE,Sweden,2020-05-01,55
SWE,Sweden,2020-05-07,49
SWE,Sweden,2020-05-15,50
SWE,Sweden,2020-05-21,53
SWE,Sweden,2020-05-22,45
SWE,Sweden,2020-05-27,47
SWE,Sweden,2020-05-30,48
SWE,Sweden,2020-06-05,47
SWE,Sweden,2020-06-09,45
SWE,Sweden,2020-06-16,48
SWE,Sweden,2020-06-17,48
SWE,Sweden,2020-06-25,45
SWE,Sweden,2020-07-03,48
SWE,Sweden,2020-07-12,48
SWE,Sweden,2020-07-22,48
SWE,Sweden,2020-07-26,44
SWE,Sweden,2020-07-31,49
SWE,Sweden,2020-08-12,48
SWE,Sweden,2020-08-19,47
SWE,Sweden,2020-08-25,44
SWE,Sweden,2020-09-08,47
THA,Thailand,2020-03-23,78
THA,Thailand,2020-03-30,89
THA,Thailand,2020-04-06,88
THA,Thailand,2020-04-13,89
THA,Thailand,2020-04-20,86
THA,Thailand,2020-04-27,90
THA,Thailand,2020-05-04,89
THA,Thailand,2020-05-14,81
THA,Thailand,2020-05-26,81
THA,Thailand,2020-05-30,76
THA,Thailand,2020-06-08,79
THA,Thailand,2020-06-10,77
THA,Thailand,2020-06-22,77
THA,Thailand,2020-06-25,78
THA,Thailand,2020-07-06,76
THA,Thailand,2020-07-09,77
THA,Thailand,2020-07-20,75
THA,Thailand,2020-07-23,77
THA,Thailand,2020-08-03,80
THA,Thailand,2020-08-08,84
THA,Thailand,2020-08-17,85
THA,Thailand,2020-08-21,83
THA,Thailand,2020-08-31,83
TWN,Taiwan,2020-02-24,72
TWN,Taiwan,2020-03-02,76
TWN,Taiwan,2020-03-09,82
TWN,Taiwan,2020-03-16,77
TWN,Taiwan,2020-03-23,80
TWN,Taiwan,2020-03-30,82
TWN,Taiwan,2020-04-06,81
TWN,Taiwan,2020-04-13,81
TWN,Taiwan,2020-04-20,79
TWN,Taiwan,2020-04-27,77
TWN,Taiwan,2020-05-04,76
TWN,Taiwan,2020-05-14,64
TWN,Taiwan,2020-05-25,71
TWN,Taiwan,2020-05-28,62
TWN,Taiwan,2020-06-08,70
TWN,Taiwan,2020-06-10,62
TWN,Taiwan,2020-06-22,69
TWN,Taiwan,2020-06-26,58
TWN,Taiwan,2020-07-06,65
TWN,Taiwan,2020-07-10,59
TWN,Taiwan,2020-07-20,70
TWN,Taiwan,2020-07-24,62
TWN,Taiwan,2020-08-03,63
TWN,Taiwan,2020-08-07,57
TWN,Taiwan,2020-08-17,64
TWN,Taiwan,2020-08-21,56
TWN,Taiwan,2020-08-31,61
USA,United States,2020-03-18,64
USA,United States,2020-03-25,71
USA,United States,2020-04-01,73
USA,United States,2020-04-07,71
USA,United States,2020-04-14,75
USA,United States,2020-04-22,76
USA,United States,2020-04-29,75
USA,United States,2020-05-04,72
USA,United States,2020-05-15,62
USA,United States,2020-05-28,64
USA,United States,2020-06-03,70
USA,United States,2020-06-10,73
USA,United States,2020-06-17,68
USA,United States,2020-06-25,64
USA,United States,2020-07-13,69
USA,United States,2020-07-29,67
USA,United States,2020-08-10,64
USA,United States,2020-08-19,61
VNM,Vietnam,2020-03-16,40
VNM,Vietnam,2020-03-23,40
VNM,Vietnam,2020-03-29,42
VNM,Vietnam,2020-04-05,53
VNM,Vietnam,2020-04-12,44
VNM,Vietnam,2020-04-19,47
VNM,Vietnam,2020-04-26,40
VNM,Vietnam,2020-05-03,37
VNM,Vietnam,2020-05-14,39
VNM,Vietnam,2020-05-25,34
VNM,Vietnam,2020-05-28,37
VNM,Vietnam,2020-06-10,34
VNM,Vietnam,2020-06-18,34
VNM,Vietnam,2020-06-24,36
VNM,Vietnam,2020-07-08,39
VNM,Vietnam,2020-07-23,39
VNM,Vietnam,2020-08-20,42
