iso_code,country,date,yougov_avoiding_contact_with_tourists
ESP,Spain,2020-09-10,44.0
ESP,Spain,2020-09-18,44.0
ESP,Spain,2020-09-23,43.0
ESP,Spain,2020-09-30,43.0
ESP,Spain,2020-10-16,38.0
ESP,Spain,2021-01-07,44.0
ESP,Spain,2021-01-13,41.0
ESP,Spain,2021-01-20,44.0
ESP,Spain,2021-01-29,45.0
ESP,Spain,2021-02-05,44.0
ESP,Spain,2021-02-17,40.0
ESP,Spain,2021-03-03,34.0
ESP,Spain,2021-03-10,43.0
ESP,Spain,2021-03-18,43.0
ESP,Spain,2021-03-24,40.0
ESP,Spain,2021-04-01,44.0
ESP,Spain,2021-04-14,42.0
ESP,Spain,2021-04-21,41.0
ESP,Spain,2021-05-01,43.0
ESP,Spain,2021-05-07,46.0
ESP,Spain,2021-05-14,40.0
ESP,Spain,2021-05-21,37.0
ESP,Spain,2021-05-30,38.0
ESP,Spain,2021-06-06,37.0
ESP,Spain,2021-06-11,36.0
ESP,Spain,2021-06-16,36.0
ESP,Spain,2021-06-23,33.0
ESP,Spain,2021-07-02,48.0
ESP,Spain,2021-07-09,37.0
ESP,Spain,2021-07-19,35.0
FIN,Finland,2020-03-16,29.0
FIN,Finland,2020-03-23,29.0
FIN,Finland,2020-03-29,46.0
FIN,Finland,2020-04-05,48.0
FIN,Finland,2020-04-12,46.0
FIN,Finland,2020-04-19,42.0
FIN,Finland,2020-04-26,40.0
FIN,Finland,2020-05-03,32.0
FIN,Finland,2020-06-20,35.0
FIN,Finland,2020-09-06,42.0
FIN,Finland,2020-09-20,36.0
FIN,Finland,2020-10-12,38.0
FIN,Finland,2020-11-03,32.0
FIN,Finland,2020-11-12,34.0
FIN,Finland,2020-11-27,35.0
FIN,Finland,2021-01-18,40.0
FIN,Finland,2021-01-31,40.0
FIN,Finland,2021-02-14,38.0
FIN,Finland,2021-02-26,41.0
FIN,Finland,2021-03-15,40.0
FIN,Finland,2021-03-21,40.0
FIN,Finland,2021-04-11,43.0
FIN,Finland,2021-05-05,34.0
FIN,Finland,2021-06-03,34.0
FRA,France,2020-03-10,26.0
FRA,France,2020-03-13,28.0
FRA,France,2020-03-20,53.0
FRA,France,2020-03-27,57.0
FRA,France,2020-04-10,52.0
FRA,France,2020-04-17,54.0
FRA,France,2020-04-24,51.0
FRA,France,2020-05-01,49.0
FRA,France,2020-07-16,44.0
FRA,France,2020-07-22,46.0
FRA,France,2020-07-31,46.0
FRA,France,2020-08-07,49.0
FRA,France,2020-08-12,45.0
FRA,France,2020-09-02,46.0
FRA,France,2020-09-10,40.0
FRA,France,2020-09-22,40.0
FRA,France,2020-09-30,44.0
FRA,France,2020-10-15,38.0
FRA,France,2020-10-22,41.0
FRA,France,2020-10-28,46.0
FRA,France,2020-11-04,45.0
FRA,France,2020-11-18,40.0
FRA,France,2020-11-25,43.0
FRA,France,2020-12-02,43.0
FRA,France,2020-12-09,37.0
FRA,France,2020-12-16,40.0
FRA,France,2021-01-06,39.0
FRA,France,2021-01-20,42.0
FRA,France,2021-01-27,35.0
FRA,France,2021-02-03,44.0
FRA,France,2021-02-12,45.0
FRA,France,2021-02-16,38.0
FRA,France,2021-02-23,44.0
FRA,France,2021-03-10,37.0
FRA,France,2021-03-17,37.0
FRA,France,2021-03-24,39.0
FRA,France,2021-03-31,46.0
FRA,France,2021-04-08,41.0
FRA,France,2021-04-14,39.0
FRA,France,2021-04-21,38.0
FRA,France,2021-04-28,38.0
FRA,France,2021-05-19,39.0
FRA,France,2021-06-03,35.0
FRA,France,2021-06-09,35.0
FRA,France,2021-06-16,35.0
FRA,France,2021-06-23,33.0
FRA,France,2021-06-29,33.0
FRA,France,2021-07-07,35.0
FRA,France,2021-07-14,38.0
FRA,France,2021-07-21,33.0
GBR,United Kingdom,2020-03-01,9.0
GBR,United Kingdom,2020-03-13,12.0
GBR,United Kingdom,2020-03-20,21.0
GBR,United Kingdom,2020-03-27,35.0
GBR,United Kingdom,2020-04-14,40.0
GBR,United Kingdom,2020-04-17,36.0
GBR,United Kingdom,2020-04-24,36.0
GBR,United Kingdom,2020-05-01,35.0
GBR,United Kingdom,2020-05-15,34.0
GBR,United Kingdom,2020-05-30,38.0
GBR,United Kingdom,2020-06-05,28.0
GBR,United Kingdom,2020-06-16,29.0
GBR,United Kingdom,2020-06-25,33.0
GBR,United Kingdom,2020-07-03,31.0
GBR,United Kingdom,2020-07-12,29.0
GBR,United Kingdom,2020-07-26,24.0
GBR,United Kingdom,2020-07-31,33.0
GBR,United Kingdom,2020-08-07,30.0
GBR,United Kingdom,2020-08-12,32.0
GBR,United Kingdom,2020-08-25,30.0
GBR,United Kingdom,2020-09-08,26.0
GBR,United Kingdom,2020-09-16,29.0
GBR,United Kingdom,2020-09-29,32.0
GBR,United Kingdom,2020-10-07,29.0
GBR,United Kingdom,2020-10-22,26.0
GBR,United Kingdom,2020-11-18,29.0
GBR,United Kingdom,2020-11-26,27.0
GBR,United Kingdom,2020-12-04,28.0
GBR,United Kingdom,2020-12-15,32.0
GBR,United Kingdom,2021-01-05,31.0
GBR,United Kingdom,2021-01-19,33.0
GBR,United Kingdom,2021-01-29,31.0
GBR,United Kingdom,2021-02-11,29.0
GBR,United Kingdom,2021-02-22,34.0
GBR,United Kingdom,2021-03-09,29.0
GBR,United Kingdom,2021-03-21,26.0
GBR,United Kingdom,2021-04-09,25.0
GBR,United Kingdom,2021-04-20,24.0
GBR,United Kingdom,2021-05-07,24.0
GBR,United Kingdom,2021-05-20,23.0
GBR,United Kingdom,2021-06-02,27.0
GBR,United Kingdom,2021-06-25,22.0
GBR,United Kingdom,2021-07-16,23.0
GBR,United Kingdom,2021-07-22,22.0
HKG,Hong Kong SAR China,2020-02-25,51.0
HKG,Hong Kong SAR China,2020-03-03,45.0
HKG,Hong Kong SAR China,2020-03-10,46.0
HKG,Hong Kong SAR China,2020-03-17,46.0
HKG,Hong Kong SAR China,2020-03-24,54.0
HKG,Hong Kong SAR China,2020-03-31,57.0
HKG,Hong Kong SAR China,2020-04-07,57.0
HKG,Hong Kong SAR China,2020-04-14,56.0
HKG,Hong Kong SAR China,2020-04-21,56.0
HKG,Hong Kong SAR China,2020-04-28,57.0
HKG,Hong Kong SAR China,2020-05-05,57.0
HKG,Hong Kong SAR China,2020-05-25,53.0
HKG,Hong Kong SAR China,2020-06-08,52.0
HKG,Hong Kong SAR China,2020-06-22,49.0
HKG,Hong Kong SAR China,2020-07-06,44.0
HKG,Hong Kong SAR China,2020-07-21,50.0
HKG,Hong Kong SAR China,2020-08-04,51.0
HKG,Hong Kong SAR China,2020-08-18,52.0
HKG,Hong Kong SAR China,2020-08-31,50.0
HKG,Hong Kong SAR China,2020-09-15,50.0
HKG,Hong Kong SAR China,2020-09-28,50.0
HKG,Hong Kong SAR China,2020-10-12,48.0
HKG,Hong Kong SAR China,2020-10-27,47.0
HKG,Hong Kong SAR China,2020-11-09,49.0
HKG,Hong Kong SAR China,2020-11-24,47.0
HKG,Hong Kong SAR China,2020-12-07,48.0
HKG,Hong Kong SAR China,2020-12-21,49.0
HKG,Hong Kong SAR China,2021-01-05,49.0
HKG,Hong Kong SAR China,2021-01-18,48.0
HKG,Hong Kong SAR China,2021-02-01,46.0
HKG,Hong Kong SAR China,2021-02-16,47.0
HKG,Hong Kong SAR China,2021-03-02,46.0
HKG,Hong Kong SAR China,2021-03-15,46.0
HKG,Hong Kong SAR China,2021-03-29,47.0
HKG,Hong Kong SAR China,2021-04-12,45.0
HKG,Hong Kong SAR China,2021-04-27,49.0
HKG,Hong Kong SAR China,2021-05-10,44.0
HKG,Hong Kong SAR China,2021-05-25,44.0
HKG,Hong Kong SAR China,2021-06-07,48.0
HKG,Hong Kong SAR China,2021-06-21,45.0
HKG,Hong Kong SAR China,2021-07-05,40.0
HKG,Hong Kong SAR China,2021-07-20,38.0
IDN,Indonesia,2020-02-24,35.0
IDN,Indonesia,2020-03-02,38.0
IDN,Indonesia,2020-03-09,45.0
IDN,Indonesia,2020-03-16,48.0
IDN,Indonesia,2020-03-23,56.0
IDN,Indonesia,2020-03-30,63.0
IDN,Indonesia,2020-04-06,48.0
IDN,Indonesia,2020-04-13,48.0
IDN,Indonesia,2020-04-20,47.0
IDN,Indonesia,2020-04-27,46.0
IDN,Indonesia,2020-05-04,51.0
IDN,Indonesia,2020-05-22,47.0
IDN,Indonesia,2020-06-08,47.0
IDN,Indonesia,2020-06-22,44.0
IDN,Indonesia,2020-07-06,43.0
IDN,Indonesia,2020-07-20,48.0
IDN,Indonesia,2020-08-03,44.0
IDN,Indonesia,2020-08-17,44.0
IDN,Indonesia,2020-08-31,45.0
IDN,Indonesia,2020-09-14,47.0
IDN,Indonesia,2020-09-28,44.0
IDN,Indonesia,2020-10-12,46.0
IDN,Indonesia,2020-10-26,50.0
IDN,Indonesia,2020-11-09,45.0
IDN,Indonesia,2020-11-23,47.0
IDN,Indonesia,2020-12-07,48.0
IDN,Indonesia,2020-12-21,51.0
IDN,Indonesia,2021-01-04,35.0
IDN,Indonesia,2021-01-18,45.0
IDN,Indonesia,2021-02-01,41.0
IDN,Indonesia,2021-02-15,43.0
IDN,Indonesia,2021-03-01,39.0
IDN,Indonesia,2021-03-15,44.0
IDN,Indonesia,2021-03-29,41.0
IDN,Indonesia,2021-04-12,41.0
IDN,Indonesia,2021-04-26,44.0
IDN,Indonesia,2021-05-10,41.0
IDN,Indonesia,2021-05-24,41.0
IDN,Indonesia,2021-06-07,38.0
IDN,Indonesia,2021-06-21,40.0
IDN,Indonesia,2021-07-05,41.0
IDN,Indonesia,2021-07-19,40.0
IND,India,2020-03-16,53.0
IND,India,2020-03-20,56.0
IND,India,2020-03-27,63.0
IND,India,2020-04-03,66.0
IND,India,2020-07-23,69.0
IND,India,2020-08-02,67.0
IND,India,2020-08-05,67.0
IND,India,2020-08-14,71.0
IND,India,2020-08-21,68.0
IND,India,2020-09-18,65.0
IND,India,2020-09-24,70.0
IND,India,2020-10-02,63.0
IND,India,2020-10-11,63.0
IND,India,2020-10-19,62.0
IND,India,2020-10-23,62.0
IND,India,2020-10-31,63.0
IND,India,2020-11-06,65.0
IND,India,2020-11-13,65.0
IND,India,2020-11-20,62.0
IND,India,2020-11-29,61.0
IND,India,2020-12-05,66.0
IND,India,2020-12-14,64.0
IND,India,2020-12-18,61.0
IND,India,2020-12-27,64.0
IND,India,2021-01-03,64.0
IND,India,2021-01-08,62.0
IND,India,2021-01-15,59.0
IND,India,2021-01-22,62.0
IND,India,2021-01-30,60.0
IND,India,2021-02-08,56.0
IND,India,2021-02-15,57.0
IND,India,2021-02-25,60.0
IND,India,2021-03-07,58.0
IND,India,2021-03-22,52.0
IND,India,2021-03-28,53.0
IND,India,2021-04-04,54.0
IND,India,2021-04-11,55.0
IND,India,2021-04-18,56.0
IND,India,2021-04-25,54.0
IND,India,2021-05-03,57.0
IND,India,2021-05-10,57.0
IND,India,2021-05-16,54.0
IND,India,2021-05-21,57.0
IND,India,2021-05-30,55.0
IND,India,2021-06-06,54.0
IND,India,2021-06-13,57.0
IND,India,2021-06-20,56.0
IND,India,2021-06-27,52.0
IND,India,2021-07-04,56.0
IND,India,2021-07-08,53.0
IND,India,2021-07-17,55.0
ITA,Italy,2020-03-11,34.0
ITA,Italy,2020-03-19,40.0
ITA,Italy,2020-03-25,40.0
ITA,Italy,2020-04-03,39.0
ITA,Italy,2020-04-09,41.0
ITA,Italy,2020-04-16,38.0
ITA,Italy,2020-04-23,38.0
ITA,Italy,2020-04-30,35.0
ITA,Italy,2020-05-26,28.0
ITA,Italy,2020-06-02,27.0
ITA,Italy,2020-06-10,26.0
ITA,Italy,2020-06-17,25.0
ITA,Italy,2020-06-23,26.0
ITA,Italy,2020-07-07,25.0
ITA,Italy,2020-07-14,28.0
ITA,Italy,2020-07-21,26.0
ITA,Italy,2020-07-28,24.0
ITA,Italy,2020-08-18,31.0
ITA,Italy,2020-08-25,26.0
ITA,Italy,2020-09-01,29.0
ITA,Italy,2020-09-09,31.0
ITA,Italy,2020-09-16,25.0
ITA,Italy,2020-09-29,27.0
ITA,Italy,2020-10-06,30.0
ITA,Italy,2020-10-13,28.0
ITA,Italy,2020-10-20,32.0
ITA,Italy,2020-10-27,28.0
ITA,Italy,2020-11-03,30.0
ITA,Italy,2020-11-10,33.0
ITA,Italy,2020-11-17,31.0
ITA,Italy,2020-12-01,27.0
ITA,Italy,2020-12-09,29.0
ITA,Italy,2020-12-14,29.0
ITA,Italy,2020-12-22,30.0
ITA,Italy,2021-01-05,31.0
ITA,Italy,2021-01-12,34.0
ITA,Italy,2021-01-19,28.0
ITA,Italy,2021-01-26,21.0
ITA,Italy,2021-02-02,32.0
ITA,Italy,2021-02-09,28.0
ITA,Italy,2021-02-16,31.0
ITA,Italy,2021-02-25,27.0
ITA,Italy,2021-03-02,30.0
ITA,Italy,2021-03-09,29.0
ITA,Italy,2021-03-16,31.0
ITA,Italy,2021-03-23,30.0
ITA,Italy,2021-03-30,30.0
ITA,Italy,2021-04-06,29.0
ITA,Italy,2021-04-13,31.0
ITA,Italy,2021-04-20,28.0
ITA,Italy,2021-04-27,29.0
ITA,Italy,2021-05-04,30.0
ITA,Italy,2021-05-18,24.0
ITA,Italy,2021-05-25,27.0
ITA,Italy,2021-06-01,21.0
ITA,Italy,2021-06-08,18.0
ITA,Italy,2021-06-15,22.0
ITA,Italy,2021-06-29,24.0
ITA,Italy,2021-07-13,24.0
JPN,Japan,2020-03-17,21.0
JPN,Japan,2020-03-24,20.0
JPN,Japan,2020-03-30,21.0
JPN,Japan,2020-04-06,27.0
JPN,Japan,2020-04-13,27.0
JPN,Japan,2020-04-20,31.0
JPN,Japan,2020-04-27,30.0
JPN,Japan,2020-05-04,30.0
MEX,Mexico,2020-03-17,34.0
MEX,Mexico,2020-03-23,44.0
MEX,Mexico,2020-03-30,49.0
MEX,Mexico,2020-04-06,49.0
MEX,Mexico,2020-04-13,49.0
MEX,Mexico,2020-04-20,52.0
MEX,Mexico,2020-04-27,48.0
MYS,Malaysia,2020-02-24,54.0
MYS,Malaysia,2020-03-02,54.0
MYS,Malaysia,2020-03-09,55.0
MYS,Malaysia,2020-03-16,63.0
MYS,Malaysia,2020-03-23,68.0
MYS,Malaysia,2020-03-30,66.0
MYS,Malaysia,2020-04-06,66.0
MYS,Malaysia,2020-04-13,63.0
MYS,Malaysia,2020-04-20,60.0
MYS,Malaysia,2020-04-27,65.0
MYS,Malaysia,2020-05-04,63.0
MYS,Malaysia,2020-05-25,61.0
MYS,Malaysia,2020-06-08,58.0
MYS,Malaysia,2020-06-22,62.0
MYS,Malaysia,2020-07-06,60.0
MYS,Malaysia,2020-07-20,63.0
MYS,Malaysia,2020-08-03,55.0
MYS,Malaysia,2020-08-17,59.0
MYS,Malaysia,2020-08-31,57.0
MYS,Malaysia,2020-09-14,56.0
MYS,Malaysia,2020-09-28,60.0
MYS,Malaysia,2020-10-12,63.0
MYS,Malaysia,2020-10-26,60.0
MYS,Malaysia,2020-11-09,62.0
MYS,Malaysia,2020-11-23,61.0
MYS,Malaysia,2020-12-07,58.0
MYS,Malaysia,2020-12-21,61.0
MYS,Malaysia,2021-01-04,60.0
MYS,Malaysia,2021-01-18,64.0
MYS,Malaysia,2021-02-01,61.0
MYS,Malaysia,2021-02-15,60.0
MYS,Malaysia,2021-03-01,58.0
MYS,Malaysia,2021-03-15,54.0
MYS,Malaysia,2021-03-29,53.0
MYS,Malaysia,2021-04-12,54.0
MYS,Malaysia,2021-04-26,54.0
MYS,Malaysia,2021-05-10,56.0
MYS,Malaysia,2021-05-24,50.0
MYS,Malaysia,2021-06-07,54.0
MYS,Malaysia,2021-06-21,56.0
MYS,Malaysia,2021-07-05,56.0
MYS,Malaysia,2021-07-19,54.0
NOR,Norway,2020-03-16,36.0
NOR,Norway,2020-03-23,37.0
NOR,Norway,2020-03-29,44.0
NOR,Norway,2020-04-05,50.0
NOR,Norway,2020-04-12,37.0
NOR,Norway,2020-04-19,46.0
NOR,Norway,2020-04-26,43.0
NOR,Norway,2020-05-03,46.0
NOR,Norway,2020-05-25,33.0
NOR,Norway,2020-09-14,41.0
NOR,Norway,2020-09-27,39.0
NOR,Norway,2020-10-11,40.0
NOR,Norway,2020-11-09,38.0
NOR,Norway,2020-11-22,41.0
NOR,Norway,2020-12-07,39.0
NOR,Norway,2021-01-17,40.0
NOR,Norway,2021-02-01,37.0
NOR,Norway,2021-02-14,36.0
NOR,Norway,2021-02-28,40.0
NOR,Norway,2021-03-14,42.0
NOR,Norway,2021-03-29,42.0
NOR,Norway,2021-04-12,45.0
NOR,Norway,2021-05-10,39.0
NOR,Norway,2021-06-07,36.0
PHL,Philippines,2020-02-24,46.0
PHL,Philippines,2020-03-02,46.0
PHL,Philippines,2020-03-09,48.0
PHL,Philippines,2020-03-16,61.0
PHL,Philippines,2020-03-23,66.0
PHL,Philippines,2020-03-30,69.0
PHL,Philippines,2020-04-06,65.0
PHL,Philippines,2020-04-13,68.0
PHL,Philippines,2020-04-20,64.0
PHL,Philippines,2020-04-27,64.0
PHL,Philippines,2020-05-04,65.0
PHL,Philippines,2020-05-25,66.0
PHL,Philippines,2020-06-08,63.0
PHL,Philippines,2020-06-22,65.0
PHL,Philippines,2020-07-06,65.0
PHL,Philippines,2020-07-20,68.0
PHL,Philippines,2020-08-03,63.0
PHL,Philippines,2020-08-17,66.0
PHL,Philippines,2020-08-31,67.0
PHL,Philippines,2020-09-14,70.0
PHL,Philippines,2020-09-28,69.0
PHL,Philippines,2020-10-12,67.0
PHL,Philippines,2020-10-26,60.0
PHL,Philippines,2020-11-09,64.0
PHL,Philippines,2020-11-23,65.0
PHL,Philippines,2020-12-07,69.0
PHL,Philippines,2020-12-21,65.0
PHL,Philippines,2021-01-04,70.0
PHL,Philippines,2021-01-18,66.0
PHL,Philippines,2021-02-01,66.0
PHL,Philippines,2021-02-15,64.0
PHL,Philippines,2021-03-01,64.0
PHL,Philippines,2021-03-15,60.0
PHL,Philippines,2021-03-29,62.0
PHL,Philippines,2021-04-12,61.0
PHL,Philippines,2021-04-26,64.0
PHL,Philippines,2021-05-10,64.0
PHL,Philippines,2021-05-24,61.0
PHL,Philippines,2021-06-07,62.0
PHL,Philippines,2021-06-21,67.0
PHL,Philippines,2021-07-06,62.0
PHL,Philippines,2021-07-19,65.0
SAU,Saudi Arabia,2020-03-18,47.0
SAU,Saudi Arabia,2020-03-25,61.0
SAU,Saudi Arabia,2020-04-01,64.0
SAU,Saudi Arabia,2020-04-07,59.0
SAU,Saudi Arabia,2020-04-14,66.0
SAU,Saudi Arabia,2020-04-22,63.0
SAU,Saudi Arabia,2020-04-29,64.0
SAU,Saudi Arabia,2020-05-04,65.0
SAU,Saudi Arabia,2020-06-03,60.0
SAU,Saudi Arabia,2020-06-10,61.0
SAU,Saudi Arabia,2020-06-17,57.0
SAU,Saudi Arabia,2020-07-13,61.0
SAU,Saudi Arabia,2020-07-29,58.0
SAU,Saudi Arabia,2020-08-10,57.0
SAU,Saudi Arabia,2020-08-19,58.0
SAU,Saudi Arabia,2020-08-31,56.0
SAU,Saudi Arabia,2020-09-30,48.0
SAU,Saudi Arabia,2020-10-07,57.0
SAU,Saudi Arabia,2020-10-14,53.0
SAU,Saudi Arabia,2020-11-02,50.0
SAU,Saudi Arabia,2020-11-09,52.0
SAU,Saudi Arabia,2020-11-17,51.0
SAU,Saudi Arabia,2020-11-30,53.0
SAU,Saudi Arabia,2020-12-16,53.0
SAU,Saudi Arabia,2020-12-23,49.0
SAU,Saudi Arabia,2021-01-10,50.0
SAU,Saudi Arabia,2021-02-01,48.0
SAU,Saudi Arabia,2021-02-08,52.0
SAU,Saudi Arabia,2021-02-21,57.0
SAU,Saudi Arabia,2021-03-07,52.0
SAU,Saudi Arabia,2021-03-16,51.0
SAU,Saudi Arabia,2021-05-10,50.0
SAU,Saudi Arabia,2021-05-24,48.0
SAU,Saudi Arabia,2021-05-31,48.0
SAU,Saudi Arabia,2021-06-16,50.0
SAU,Saudi Arabia,2021-07-13,47.0
SGP,Singapore,2020-02-21,37.0
SGP,Singapore,2020-02-28,36.0
SGP,Singapore,2020-03-06,38.0
SGP,Singapore,2020-03-13,34.0
SGP,Singapore,2020-03-20,45.0
SGP,Singapore,2020-03-27,44.0
SGP,Singapore,2020-04-03,47.0
SGP,Singapore,2020-04-10,52.0
SGP,Singapore,2020-04-17,47.0
SGP,Singapore,2020-04-24,50.0
SGP,Singapore,2020-05-01,50.0
SGP,Singapore,2020-05-22,49.0
SGP,Singapore,2020-06-05,47.0
SGP,Singapore,2020-06-19,48.0
SGP,Singapore,2020-07-07,43.0
SGP,Singapore,2020-07-20,44.0
SGP,Singapore,2020-08-03,44.0
SGP,Singapore,2020-08-14,42.0
SGP,Singapore,2020-08-28,38.0
SGP,Singapore,2020-09-11,40.0
SGP,Singapore,2020-09-25,37.0
SGP,Singapore,2020-10-09,36.0
SGP,Singapore,2020-10-23,38.0
SGP,Singapore,2020-11-06,39.0
SGP,Singapore,2020-11-20,39.0
