iso_code,country,date,yougov_perceived_national_improvement
ARE,United Arab Emirates,2020-05-11,55.0
ARE,United Arab Emirates,2020-05-18,50.0
ARE,United Arab Emirates,2020-05-25,48.0
ARE,United Arab Emirates,2020-06-01,61.0
ARE,United Arab Emirates,2020-06-08,73.0
ARE,United Arab Emirates,2020-06-15,81.0
ARE,United Arab Emirates,2020-06-22,85.0
ARE,United Arab Emirates,2020-06-29,68.0
ARE,United Arab Emirates,2020-07-27,88.0
ARE,United Arab Emirates,2020-08-11,90.0
ARE,United Arab Emirates,2020-08-17,80.0
ARE,United Arab Emirates,2020-09-30,57.0
ARE,United Arab Emirates,2020-10-07,65.0
ARE,United Arab Emirates,2020-10-14,65.0
ARE,United Arab Emirates,2020-11-11,72.0
ARE,United Arab Emirates,2020-11-30,71.0
ARE,United Arab Emirates,2020-12-16,88.0
ARE,United Arab Emirates,2020-12-23,78.0
ARE,United Arab Emirates,2020-12-29,76.0
ARE,United Arab Emirates,2021-01-05,71.0
ARE,United Arab Emirates,2021-01-13,67.0
ARE,United Arab Emirates,2021-02-01,53.0
ARE,United Arab Emirates,2021-02-14,55.0
ARE,United Arab Emirates,2021-03-16,79.0
ARE,United Arab Emirates,2021-04-21,86.0
ARE,United Arab Emirates,2021-04-27,83.0
ARE,United Arab Emirates,2021-05-17,86.0
ARE,United Arab Emirates,2021-05-24,88.0
ARE,United Arab Emirates,2021-05-31,84.0
ARE,United Arab Emirates,2021-06-15,85.0
ARE,United Arab Emirates,2021-07-13,80.0
ARE,United Arab Emirates,2021-08-02,80.0
ARE,United Arab Emirates,2021-08-10,83.0
ARE,United Arab Emirates,2021-08-22,83.0
ARE,United Arab Emirates,2021-08-30,86.0
ARE,United Arab Emirates,2021-09-06,89.0
ARE,United Arab Emirates,2021-09-27,94.0
AUS,Australia,2020-05-11,84.0
AUS,Australia,2020-05-18,83.0
AUS,Australia,2020-05-25,86.0
AUS,Australia,2020-06-01,86.0
AUS,Australia,2020-06-08,86.0
AUS,Australia,2020-06-15,87.0
AUS,Australia,2020-06-22,74.0
AUS,Australia,2020-06-29,52.0
AUS,Australia,2020-08-03,17.0
AUS,Australia,2020-08-10,19.0
AUS,Australia,2020-08-17,34.0
AUS,Australia,2020-08-24,57.0
CAN,Canada,2020-05-12,67.0
CAN,Canada,2020-05-19,69.0
CAN,Canada,2020-05-26,68.0
CAN,Canada,2020-06-02,70.0
CAN,Canada,2020-06-09,75.0
CAN,Canada,2020-06-16,79.0
CAN,Canada,2020-06-23,73.0
CAN,Canada,2020-06-30,76.0
CAN,Canada,2020-08-03,36.0
CAN,Canada,2020-08-17,61.0
CHN,China,2020-05-12,94.0
CHN,China,2020-05-19,93.0
CHN,China,2020-05-26,96.0
CHN,China,2020-06-02,94.0
CHN,China,2020-06-09,95.0
CHN,China,2020-06-16,93.0
CHN,China,2020-06-23,88.0
CHN,China,2020-06-30,91.0
CHN,China,2020-07-27,93.0
CHN,China,2020-08-03,94.0
CHN,China,2020-08-10,92.0
CHN,China,2020-08-17,94.0
CHN,China,2020-08-24,95.0
CHN,China,2020-09-28,93.0
CHN,China,2020-10-12,95.0
